Agony.jpg 	Agony 	Binding Ritual. Creates a level 1...10...12 spirit (30...78...90 second lifespan). Causes 3...9...10 Health loss each second to foes in earshot. This spirit loses 3...9...10 Health for each foe that loses Health. 		10 Tango-energy.png 	¾ Tango-activation-darker.png 	30 Tango-recharge-darker.png 		Channeling Magic	Eye of the North
Displacement (PvP).jpg 	Displacement (PvP) 	Binding Ritual. Creates a level 1...8...10 spirit (30...54...60 second lifespan). Non-spirit allies within range have 75% chance to block. Block effect: this spirit takes 60 damage. 		15 Tango-energy.png 	3 Tango-activation-darker.png 	45 Tango-recharge-darker.png 		Communing	Factions
Dissonance.jpg 	Dissonance 	Binding Ritual. Creates a level 1...10...12 spirit (10...22...25 second lifespan). Its attacks deal 5...17...20 damage and interrupt actions. 		25 Tango-energy.png 	1 Tango-activation-darker.png 	45 Tango-recharge-darker.png 	Tango-quest-icon.png	Communing	Factions
Dissonance (PvP).jpg 	Dissonance (PvP) 	Binding Ritual. Creates a level 1...7...8 spirit (10...22...25 second lifespan). Its attacks deal 5...17...20 damage and interrupt actions. 		25 Tango-energy.png 	5 Tango-activation-darker.png 	45 Tango-recharge-darker.png 		Communing	Factions
Doom.jpg 	Doom 	Spell. Deals 10...34...40 lightning damage (maximum 135) for each of your recharging binding rituals. 		10 Tango-energy.png 	1 Tango-activation-darker.png 	8 Tango-recharge-darker.png 		Spawning Power	Factions
Draw Spirit.jpg 	Draw Spirit 	Spell. Teleports target allied spirit to your location. 		5 Tango-energy.png 	¼ Tango-activation-darker.png 	5 Tango-recharge-darker.png 			Factions
Dulled Weapon.jpg 	Dulled Weapon 	Hex Spell. Also hexes foes adjacent to your target (5...13...15 seconds). Removes ability to land a critical hit. Reduces damage by 1...12...15. 		15 Tango-energy.png 	1 Tango-activation-darker.png 	20 Tango-recharge-darker.png 		Communing	Factions
Earthbind.jpg 	Earthbind 	Binding Ritual. Creates a level 1...11...14 spirit (15...39...45 second lifespan). Any time non-spirit foes within range are knocked down, they are knocked down for at least 3 seconds. Knock-down cost: this spirit loses 50...30...25 Health. 		15 Tango-energy.png 	1 Tango-activation-darker.png 	30 Tango-recharge-darker.png 		Communing	Factions
Earthbind (PvP).jpg 	Earthbind (PvP) 	Binding Ritual. Creates a level 1...8...10 spirit (15...39...45 second lifespan). Any time non-spirit foes within range are knocked down, they are knocked down for at least 3 seconds. Knock-down cost: this spirit loses 50...30...25 Health. 		15 Tango-energy.png 	5 Tango-activation-darker.png 	60 Tango-recharge-darker.png 		Communing	Factions
Empowerment.jpg 	Empowerment 	Binding Ritual. Creates a level 1...11...14 spirit (15...51...60 second lifespan). Allies in range holding an item gain 15...39...45 maximum Health and 10 maximum Energy. 		5 Tango-energy.png 	¾ Tango-activation-darker.png 	30 Tango-recharge-darker.png 		Spawning Power	Nightfall
Empowerment (PvP).jpg 	Empowerment (PvP) 	Binding Ritual. Creates a level 1...8...10 spirit (15...51...60 second lifespan). Allies in range holding an item gain 15...39...45 maximum Health and 10 maximum Energy. 		5 Tango-energy.png 	3 Tango-activation-darker.png 	30 Tango-recharge-darker.png 		Spawning Power	Nightfall
Energetic Was Lee Sa.jpg 	Energetic Was Lee Sa 	Item Spell. (5...13...15 seconds.) You have +2 Energy regeneration. Drop effect: you gain +1...8...10 Energy. 		10 Tango-energy.png 	2 Tango-activation-darker.png 	20 Tango-recharge-darker.png 		Spawning Power	Eye of the North
Essence Strike.jpg 	Essence Strike 	Spell. Deals 15...51...60 lightning damage. You gain 1...7...9 Energy if any spirits are within earshot. 		5 Tango-energy.png 	1 Tango-activation-darker.png 	8 Tango-recharge-darker.png 		Channeling Magic	Factions
Explosive Growth.jpg 	Explosive Growth 	Enchantment Spell. (15...51...60 seconds.) Deals 20...56...65 lightning damage each time you create a creature to 5 foes near that creature. 		5 Tango-energy.png 	2 Tango-activation-darker.png 	45 Tango-recharge-darker.png 		Spawning Power	Factions
Feast of Souls.jpg 	Feast of Souls 	Spell. Heals all party members for 50...90...100 for each nearby allied spirit. All nearby allied spirits are destroyed. 		10 Tango-energy.png 	¼ Tango-activation-darker.png 	10 Tango-recharge-darker.png 		Spawning Power	Factions
Flesh of My Flesh.jpg 	Flesh of My Flesh 	Spell. Resurrect target party member (half your current Health and 5...17...20% Energy). Lose half your Health. 		5 Tango-energy.png 	4 Tango-activation-darker.png 			Restoration Magic	Factions
Flesh of My Flesh (PvP).jpg 	Flesh of My Flesh (PvP) 	Spell. Resurrect target party member (half your current Health and 5...17...20% Energy). Lose half your Health. 		5 Tango-energy.png 	4 Tango-activation-darker.png 	10 Tango-recharge-darker.png 		Restoration Magic	Factions
Gaze from Beyond.jpg 	Gaze from Beyond 	Spell. Deals 20...56...65 lightning damage. Inflicts Blindness condition for 2...5...6 seconds if you are within earshot of a spirit. 		5 Tango-energy.png 	1 Tango-activation-darker.png 	10 Tango-recharge-darker.png 		Channeling Magic	Factions
Gaze of Fury.jpg 	Gaze of Fury 	Binding Ritual. Destroys a spirit. Creates a level 1...11...14 spirit (30...54...60 second lifespan). Its attacks deal 5...17...20 damage. 		10 Tango-energy.png 	¾ Tango-activation-darker.png 	20 Tango-recharge-darker.png 		Channeling Magic	Nightfall
Gaze of Fury (PvP).jpg 	Gaze of Fury (PvP) 	Binding Ritual. Destroys an allied spirit. Creates a level 1...8...10 spirit (30...54...60 second lifespan). Its attacks deal 5...17...20 damage. 		10 Tango-energy.png 	2 Tango-activation-darker.png 	20 Tango-recharge-darker.png 		Channeling Magic	Nightfall
Generous Was Tsungrai.jpg 	Generous Was Tsungrai 	Item Spell. (15...51...60 seconds.) You have +50...122...140 maximum Health. Drop effect: you gain 100...244...280 Health. 	10% Tango-sacrifice.png 	5 Tango-energy.png 	1 Tango-activation-darker.png 	15 Tango-recharge-darker.png 	Tango-quest-icon.png	Restoration Magic	Factions
Ghostly Haste.jpg 	Ghostly Haste 	Enchantment Spell. (5...17...20 seconds.) Spells you cast recharge 25% faster. No effect unless you are within earshot of a spirit. 		10 Tango-energy.png 	1 Tango-activation-darker.png 	20 Tango-recharge-darker.png 		Spawning Power	Factions
Ghostly Weapon.jpg 	Ghostly Weapon 	Weapon Spell. (5...17...20 seconds.) Target ally's next attack is unblockable. Cannot self-target. 		5 Tango-energy.png 	¼ Tango-activation-darker.png 	1 Tango-recharge-darker.png 		Communing	Eye of the North
Ghostmirror Light.jpg 	Ghostmirror Light 	Spell. Heals for 15...75...90. You gain 15...75...90 Health if you are within earshot of a spirit. Cannot self-target. 		5 Tango-energy.png 	1 Tango-activation-darker.png 	3 Tango-recharge-darker.png 		Restoration Magic	Nightfall
Grasping Was Kuurong.jpg 	Grasping Was Kuurong 	Elite Item Spell. (15...51...60 seconds.) Drop effect: deal 15...63...75 damage and knocks-down all nearby foes. 		15 Tango-energy.png 	1 Tango-activation-darker.png 	20 Tango-recharge-darker.png 		Channeling Magic	Factions
Guided Weapon.jpg 	Guided Weapon 	Weapon Spell. (4...9...10 seconds.) Attacks are unblockable. 		15 Tango-energy.png 	2 Tango-activation-darker.png 	5 Tango-recharge-darker.png 		Communing	Factions
Lamentation.jpg 	Lamentation 	Hex Spell. Also hexes foes near your target (5...17...20 seconds). Causes -0...2...3 Health degeneration. Initial effect: Deals 10...42...50 damage to these foes if you are within earshot of a spirit or corpse. 		10 Tango-energy.png 	1 Tango-activation-darker.png 	15 Tango-recharge-darker.png 		Channeling Magic	Factions
Life.jpg 	Life 	Binding Ritual. Creates a level 1...11...14 spirit (20 second lifespan). Affects non-spirit allies within range. End effect: heals for 1...6...7 for each second this spirit was alive. 		10 Tango-energy.png 	¾ Tango-activation-darker.png 	20 Tango-recharge-darker.png 		Restoration Magic	Factions
Life (PvP).jpg 	Life (PvP) 	Binding Ritual. Creates a level 1...8...10 spirit (20 second lifespan). Affects non-spirit allies within range. End effect: heals for 1...6...7 for each second this spirit was alive. 		10 Tango-energy.png 	3 Tango-activation-darker.png 	20 Tango-recharge-darker.png 		Restoration Magic	Factions
Lively Was Naomei.jpg 	Lively Was Naomei 	Item Spell. (45 seconds.) Drop effect: resurrects party members in the area (15...63...75% Health and zero Energy). 		15 Tango-energy.png 	6 Tango-activation-darker.png 	20 Tango-recharge-darker.png 		Restoration Magic	Factions
Mend Body and Soul.jpg 	Mend Body and Soul 	Spell. Heals for 20...96...115. Removes one condition for each spirit within earshot. 		5 Tango-energy.png 	¾ Tango-activation-darker.png 	3 Tango-recharge-darker.png 		Restoration Magic	Factions
Mending Grip.jpg 	Mending Grip 	Spell. Heals for 15...63...75. Removes one condition if target ally is under a Weapon [sic] spell. 		5 Tango-energy.png 	1 Tango-activation-darker.png 	6 Tango-recharge-darker.png 		Restoration Magic	Eye of the North
Mighty Was Vorizun.jpg 	Mighty Was Vorizun 	Item Spell. (15...51...60 seconds.) You have +15 armor and +30 maximum Energy. 		5 Tango-energy.png 	2 Tango-activation-darker.png 	30 Tango-recharge-darker.png 		Communing	Factions
Nightmare Weapon.jpg 	Nightmare Weapon 	Weapon Spell. (12 seconds.) Target ally's attacks steal 10...42...50 Health but deal 10...42...50 less damage. Ends after 3 attacks. 		5 Tango-energy.png 	1 Tango-activation-darker.png 	10 Tango-recharge-darker.png 		Channeling Magic	Factions
Offering of Spirit.jpg 	Offering of Spirit 	Elite Spell. You gain 8...15...17 Energy. You do not sacrifice Health if any spirits are within earshot. 	17% Tango-sacrifice.png 	5 Tango-energy.png 	¼ Tango-activation-darker.png 	15 Tango-recharge-darker.png 		Channeling Magic	Nightfall
Pain.jpg 	Pain 	Binding Ritual. Creates a level 1...10...12 spirit (30...126...150 second lifespan). Its attacks deal 5...25...30 damage. 		5 Tango-energy.png 	¾ Tango-activation-darker.png 	30 Tango-recharge-darker.png 	Tango-quest-icon.png	Communing	Factions
Pain (PvP).jpg 	Pain (PvP) 	Binding Ritual. Creates a level 1...7...8 spirit (30...126...150 second lifespan). Its attacks deal 5...25...30 damage. 		5 Tango-energy.png 	3 Tango-activation-darker.png 	30 Tango-recharge-darker.png 		Communing	Factions
Painful Bond.jpg 	Painful Bond 	Hex Spell. Also hexes foes near your target (10...18...20 seconds). Spirits do 8...18...20 more damage against these foes. 		15 Tango-energy.png 	1 Tango-activation-darker.png 	12 Tango-recharge-darker.png 	Tango-quest-icon.png	Channeling Magic	Factions
Preservation.jpg 	Preservation 	Elite Binding Ritual. Creates a level 1...11...14 spirit (90 second lifespan). Every 4 seconds this spirit heals one non-spirit ally for 10...94...115. 		5 Tango-energy.png 	¾ Tango-activation-darker.png 	20 Tango-recharge-darker.png 		Restoration Magic	Factions
Preservation (PvP).jpg 	Preservation (PvP) 	Elite Binding Ritual. Creates a level 1...8...10 Spirit (90 second lifespan). Every 4 seconds this spirit heals one non-spirit ally for 10...94...115. 		5 Tango-energy.png 	3 Tango-activation-darker.png 	20 Tango-recharge-darker.png 		Restoration Magic	Factions
Protective Was Kaolai.jpg 	Protective Was Kaolai 	Item Spell. (15...51...60 seconds.) You have +10 armor. Drop effect: all party members are healed for 10...70...85. 		10 Tango-energy.png 	1 Tango-activation-darker.png 	25 Tango-recharge-darker.png 		Restoration Magic	Factions
Pure Was Li Ming.jpg 	Pure Was Li Ming 	Item Spell. (5...17...20 seconds.) Conditions on you expire 10...42...50% faster. Drop effect: removes 1...3...4 condition[s] from allies in earshot. 		10 Tango-energy.png 	1 Tango-activation-darker.png 	20 Tango-recharge-darker.png 		Restoration Magic	Eye of the North
Reclaim Essence.jpg 	Reclaim Essence 	Elite Spell. All of your Spirits die. If a Spirit dies in this way, you gain 5...17...20 Energy and all of your Binding Rituals are recharged. 		5 Tango-energy.png 	1 Tango-activation-darker.png 	30 Tango-recharge-darker.png 		Spawning Power	Nightfall
Recovery.jpg 	Recovery 	Binding Ritual. Creates a level 1...11...14 spirit (30...54...60 second lifespan). Conditions on allies in range expire 20...44...50% faster. 		15 Tango-energy.png 	¾ Tango-activation-darker.png 	30 Tango-recharge-darker.png 		Restoration Magic	Nightfall
Recovery (PvP).jpg 	Recovery (PvP) 	Binding Ritual. Creates a level 1...8...10 spirit (30...54...60 second lifespan). Conditions on allies in range expire 20...44...50% faster. 		15 Tango-energy.png 	3 Tango-activation-darker.png 	30 Tango-recharge-darker.png 		Restoration Magic	Nightfall
Recuperation.jpg 	Recuperation 	Binding Ritual. Creates a level 1...11...14 spirit (15...39...45 second lifespan). Non-spirit allies within range have +1...3...3 Health regeneration. 		25 Tango-energy.png 	¾ Tango-activation-darker.png 	45 Tango-recharge-darker.png 		Restoration Magic	Factions
Recuperation (PvP).jpg 	Recuperation (PvP) 	Binding Ritual. Creates a level 1...8...10 spirit (15...39...45 second lifespan). Non-spirit allies within range have +1...3...3 Health regeneration. 		25 Tango-energy.png 	3 Tango-activation-darker.png 	45 Tango-recharge-darker.png 		Restoration Magic	Factions
Rejuvenation.jpg 	Rejuvenation 	Binding Ritual. Creates a level 1...16...20 spirit (30...78...90 second lifespan). Heals party members in earshot for 3...9...10 each second. Healing cost: this spirit loses 3...9...10 Health. 		10 Tango-energy.png 	¾ Tango-activation-darker.png 	30 Tango-recharge-darker.png 		Restoration Magic	Eye of the North
Rejuvenation (PvP).jpg 	Rejuvenation (PvP) 	Binding Ritual. Creates a level 1...13...16 spirit (30...78...90 second lifespan). Heals party members in earshot for 3...9...10 each second. Healing cost: this spirit loses 3...9...10 Health. 		10 Tango-energy.png 	3 Tango-activation-darker.png 	30 Tango-recharge-darker.png 		Restoration Magic	Eye of the North
Renewing Memories.jpg 	Renewing Memories 	Enchantment Spell. (5...17...20 seconds.) Your weapon and item spells cost 5...29...35% less Energy. No effect unless holding an item. 		5 Tango-energy.png 	1 Tango-activation-darker.png 	20 Tango-recharge-darker.png 		Spawning Power	Nightfall
Renewing Surge.jpg 	Renewing Surge 	Hex Spell. (8 seconds.) Deals 2...10...12 damage each second. End effect: You gain 1...7...8 energy. 		5 Tango-energy.png 	1 Tango-activation-darker.png 	15 Tango-recharge-darker.png 		Channeling Magic	Nightfall
Resilient Was Xiko.jpg 	Resilient Was Xiko 	Item Spell. (5...17...20 seconds.) You have +3 Health regeneration for each hex or condition on you. Drop effect: you lose 1...3...4 condition[s]. 		5 Tango-energy.png 	1 Tango-activation-darker.png 	10 Tango-recharge-darker.png 		Restoration Magic	Factions
Resilient Weapon.jpg 	Resilient Weapon 	Weapon Spell. (3...10...12 seconds.) +1...5...6 Health regeneration and +24 armor. No effect unless target ally is hexed or has a condition. 		10 Tango-energy.png 	1 Tango-activation-darker.png 	6 Tango-recharge-darker.png 	Tango-quest-icon.png	Restoration Magic	Factions
Restoration.jpg 	Restoration 	Binding Ritual. Creates a level 1...11...14 spirit (30 second lifespan). End effect: resurrects party members in the area with 5...41...50% Health and zero Energy. 		10 Tango-energy.png 	1 Tango-activation-darker.png 	30 Tango-recharge-darker.png 		Communing	Factions
Restoration (PvP).jpg 	Restoration (PvP) 	Binding Ritual. Creates a level 1...8...10 spirit (30 second lifespan). End effect: resurrects party members in the area with 5...41...50% Health and zero Energy. 		10 Tango-energy.png 	5 Tango-activation-darker.png 	45 Tango-recharge-darker.png 		Communing	Factions
Ritual Lord.jpg 	Ritual Lord 	Elite Skill. (5...29...35 seconds.) You have +2...4...4 to all Ritualist attributes for your next skill. If that skill is a Binding Ritual, it recharges 10...50...60% faster and Ritual Lord recharges instantly. 	2% Tango-sacrifice.png 			45 Tango-recharge-darker.png 		Spawning Power	Factions
Rupture Soul.jpg 	Rupture Soul 	Spell. Destroys target allied spirit. Deals 50...122...140 lightning damage and inflicts Blindness condition (3...10...12 seconds) to nearby foes. 		10 Tango-energy.png 	¾ Tango-activation-darker.png 	5 Tango-recharge-darker.png 		Spawning Power	Factions
Shadowsong.jpg 	Shadowsong 	Binding Ritual. Creates a level 1...8...10 spirit (30-second lifespan). Its attacks deal 5...17...20 damage and inflict Blindness condition (1...5...6 second[s]). 		15 Tango-energy.png 	1 Tango-activation-darker.png 	30 Tango-recharge-darker.png 	Tango-quest-icon.png	Communing	Factions
Shadowsong (PvP).jpg 	Shadowsong (PvP) 	Binding Ritual. Creates a level 1...5...6 spirit (30-second lifespan). Its attacks deal 5...17...20 damage and inflict Blindness condition (1...5...6 second[s]). 		15 Tango-energy.png 	5 Tango-activation-darker.png 	45 Tango-recharge-darker.png 		Communing	Factions
Shelter.jpg 	Shelter 	Binding Ritual. Creates a level 1...10...12 spirit (30...54...60 second lifespan). Non-spirit allies within range cannot lose more than 10% maximum Health from a single attack. Damage prevention cost: this spirit loses 75...51...45 Health. 		25 Tango-energy.png 	1 Tango-activation-darker.png 	45 Tango-recharge-darker.png 		Communing	Factions
Shelter (PvP).jpg 	Shelter (PvP) 	Binding Ritual. Creates a level 1...7...8 spirit (30...54...60 second lifespan). Non-spirit allies within range cannot lose more than 10% maximum Health from a single attack. Damage prevention cost: this spirit loses 75...51...45 Health. 		25 Tango-energy.png 	5 Tango-activation-darker.png 	45 Tango-recharge-darker.png 		Communing	Factions
Sight Beyond Sight.jpg 	Sight Beyond Sight 	Enchantment Spell. (8...18...20 seconds). You are immune to Blindness. 		5 Tango-energy.png 	¼ Tango-activation-darker.png 	15 Tango-recharge-darker.png 		Spawning Power	Nightfall
Signet of Binding.jpg 	Signet of Binding 	Signet. You lose 200...80...50 Health. Gain control of target enemy-controlled spirit. 50% failure chance unless Spawning Power 5 or more. 			2 Tango-activation-darker.png 	15 Tango-recharge-darker.png 		Spawning Power	Nightfall
Signet of Creation.jpg 	Signet of Creation 	Signet. Gain 4 Energy (maximum 3...10...12 Energy) for each summoned creature you control within earshot. 			1 Tango-activation-darker.png 	20 Tango-recharge-darker.png 		Spawning Power	Factions
Signet of Ghostly Might.jpg 	Signet of Ghostly Might 	Elite Signet. (5...17...20 seconds.) All spirits you control within earshot attack 33% faster and deal +5...9...10 damage. 			1 Tango-activation-darker.png 	15 Tango-recharge-darker.png 		Communing	Nightfall
Signet of Ghostly Might (PvP).jpg 	Signet of Ghostly Might (PvP) 	Elite Signet. Target allied summoned creature deals +5...29...35 damage. That creature is destroyed after 10 seconds. 			1 Tango-activation-darker.png 	5 Tango-recharge-darker.png 		Communing	Nightfall
Signet of Spirits.jpg 	Signet of Spirits 	Elite Signet. Creates 3 level 1...10...12 spirits (60 second lifespan). These spirits deal 5...17...20 damage with attacks. 			1 Tango-activation-darker.png 	30 Tango-recharge-darker.png 		Channeling Magic	Factions
Signet of Spirits (PvP).jpg 	Signet of Spirits (PvP) 	Elite Signet. You gain 3...10...12 Energy. No effect unless you are within earshot of a spirit. 			1 Tango-activation-darker.png 	20 Tango-recharge-darker.png 		Channeling Magic	Factions
Soothing.jpg 	Soothing 	Binding Ritual. Creates a level 1...10...12 spirit (15...39...45 second lifespan). Building adrenaline takes twice as long for foes within range. 		15 Tango-energy.png 	1 Tango-activation-darker.png 	45 Tango-recharge-darker.png 		Communing	Factions
Soothing (PvP).jpg 	Soothing (PvP) 	Binding Ritual. Creates a level 1...7...8 spirit (15...39...45 second lifespan). Building adrenaline takes twice as long for foes within range. 		25 Tango-energy.png 	5 Tango-activation-darker.png 	60 Tango-recharge-darker.png 		Communing	Factions
