Accumulated Pain.jpg 	Accumulated Pain 	Spell. Deals 15...63...75 damage. Inflicts Deep Wound condition (5...17...20 seconds) if target foe has 2 or more hexes. 		5 Tango-energy.png 	2 Tango-activation-darker.png 	12 Tango-recharge-darker.png 		Illusion Magic	Factions
Calculated Risk (PvP).jpg 	Calculated Risk (PvP) 	Hex Spell. Target foe does +10 damage with attacks (3...10...12 seconds). There is a 50% chance that the damage from each attack (maximum 10...50...60) will be done to that foe instead. 		10 Tango-energy.png 	1 Tango-activation-darker.png 	12 Tango-recharge-darker.png 		Illusion Magic	Eye of the North
Channeling.jpg 	Channeling 	Enchantment Spell. (8...46...56 seconds.) You gain 1 Energy for each foe in the area whenever you cast a spell. 		5 Tango-energy.png 	1 Tango-activation-darker.png 	15 Tango-recharge-darker.png 	Tango-quest-icon.png	Inspiration Magic	Prophecies
Chaos Storm.jpg 	Chaos Storm 	Spell. Deals 5...21...25 damage and causes 0...2...2 Energy loss each second (10 seconds). Hits foes adjacent to target's initial location. 		5 Tango-energy.png 	2 Tango-activation-darker.png 	30 Tango-recharge-darker.png 	Tango-quest-icon.png	Domination Magic	Prophecies
Clumsiness.jpg 	Clumsiness 	Hex Spell. (4 seconds.) Also hexes adjacent foes. Interrupts next attack. Interruption effect: deals 10...76...92 damage. 		10 Tango-energy.png 	2 Tango-activation-darker.png 	8 Tango-recharge-darker.png 	Tango-quest-icon.png	Illusion Magic	Core
Complicate.jpg 	Complicate 	Spell. Interrupt a skill. Interruption effect: disables interrupted skill (+5...11...12 seconds) for target foe and all foes in the area. 		10 Tango-energy.png 	¼ Tango-activation-darker.png 	20 Tango-recharge-darker.png 		Domination Magic	Factions
Confusing Images.jpg 	Confusing Images 	Hex Spell. (2...8...10 seconds). Target foe takes twice as long to activate non-attack skills. 		10 Tango-energy.png 	2 Tango-activation-darker.png 	20 Tango-recharge-darker.png 		Illusion Magic	Eye of the North
Conjure Nightmare.jpg 	Conjure Nightmare 	Hex Spell. (2...13...16 seconds.) Causes -8 Health degeneration. 		15 Tango-energy.png 	1 Tango-activation-darker.png 	5 Tango-recharge-darker.png 		Illusion Magic	Factions
Conjure Phantasm.jpg 	Conjure Phantasm 	Hex Spell. (2...13...16 seconds.) Causes -5 Health degeneration. 		10 Tango-energy.png 	1 Tango-activation-darker.png 	5 Tango-recharge-darker.png 	Tango-quest-icon.png	Illusion Magic	Core
Crippling Anguish.jpg 	Crippling Anguish 	Elite Hex Spell. (5...17...20 seconds.) Target foe moves and attacks 50% slower and has -1...7...8 Health degeneration. 		5 Tango-energy.png 	1 Tango-activation-darker.png 	12 Tango-recharge-darker.png 		Illusion Magic	Core
Crippling Anguish (PvP).jpg 	Crippling Anguish (PvP) 	Elite Hex Spell. (5...17...20 seconds.) Target foe moves 50% slower and has -1...4...5 Health degeneration. 		15 Tango-energy.png 	1 Tango-activation-darker.png 	20 Tango-recharge-darker.png 		Illusion Magic	Core
Cry of Frustration.jpg 	Cry of Frustration 	Spell. If target foe is using a skill, that foe and all foes in the area are interrupted and take 15...63...75 damage. 		10 Tango-energy.png 	¼ Tango-activation-darker.png 	15 Tango-recharge-darker.png 		Domination Magic	Core
Cry of Pain.jpg 	Cry of Pain 	Spell. Interrupts a skill. If target foe had a Mesmer hex, deals 25...50 damage to target and foes in the area and causes 3...5 Health degeneration (10 seconds). 		10 Tango-energy.png 	¼ Tango-activation-darker.png 	15 Tango-recharge-darker.png 		Sunspear rank	Nightfall
Discharge Enchantment.jpg 	Discharge Enchantment 	Spell. Removes one enchantment from target foe. 20...44...50% faster recharge if that foe was hexed. 		10 Tango-energy.png 	1 Tango-activation-darker.png 	15 Tango-recharge-darker.png 		Inspiration Magic	Nightfall
Distortion.jpg 	Distortion 	Stance. (1...4...5 second[s].) You have 75% chance to block. Block cost: you lose 2 Energy or Distortion ends. 		5 Tango-energy.png 		8 Tango-recharge-darker.png 	Tango-quest-icon.png	Illusion Magic	Prophecies
Diversion.jpg 	Diversion 	Hex Spell. (6 seconds.) Target foe's next skill takes +10...47...56 seconds to recharge. 		10 Tango-energy.png 	3 Tango-activation-darker.png 	12 Tango-recharge-darker.png 	Tango-quest-icon.png	Domination Magic	Core
Drain Delusions.jpg 	Drain Delusions 	Spell. Removes one Mesmer hex from target foe. Causes 1...4...5 Energy loss. You gain 4 Energy for each point lost. No effect unless a hex was removed. 		5 Tango-energy.png 	¼ Tango-activation-darker.png 	12 Tango-recharge-darker.png 		Inspiration Magic	Nightfall
Drain Enchantment.jpg 	Drain Enchantment 	Spell. Removes an enchantment from target foe. Removal effect: you gain 8...15...17 Energy and 40...104...120 Health. 		5 Tango-energy.png 	2 Tango-activation-darker.png 	20 Tango-recharge-darker.png 	Tango-quest-icon.png	Inspiration Magic	Core
Echo.jpg 	Echo 	Elite Enchantment Spell. (30 seconds.) Echo becomes the next skill you use (30 seconds). 		5 Tango-energy.png 	1 Tango-activation-darker.png 	10 Tango-recharge-darker.png 			Core
Elemental Resistance.jpg 	Elemental Resistance 	Stance. (30...78...90 seconds.) You have +40 armor against elemental damage. You have -24...14...12 armor against physical damage. 		10 Tango-energy.png 		20 Tango-recharge-darker.png 	Tango-quest-icon.png	Inspiration Magic	Prophecies
Empathy.jpg 	Empathy 	Hex Spell. (5...13...15 seconds.) Target foe's attacks deal 1...12...15 less damage, and that foe takes 10...46...55 damage with each attack. 		10 Tango-energy.png 	2 Tango-activation-darker.png 	10 Tango-recharge-darker.png 	Tango-quest-icon.png	Domination Magic	Core
Empathy (PvP).jpg 	Empathy (PvP) 	Hex Spell. (5...13...15 seconds.) Target foe takes 15...39...45 damage whenever it attacks. 		10 Tango-energy.png 	2 Tango-activation-darker.png 	10 Tango-recharge-darker.png 		Domination Magic	Core
Enchanter's Conundrum.jpg 	Enchanter's Conundrum 	Elite Hex Spell. Causes 100...180...200% slower enchantment casting (10 seconds). Initial effect: deals 10...82...100 damage to target and adjacent foes if target foe is not enchanted. 		10 Tango-energy.png 	2 Tango-activation-darker.png 	10 Tango-recharge-darker.png 		Domination Magic	Nightfall
Enchanter's Conundrum (PvP).jpg 	Enchanter's Conundrum (PvP) 	Elite Hex Spell. Causes 100...180...200% slower enchantment casting (10 seconds). Initial effect: deals 10...82...100 damage to target and adjacent foes if target foe is not enchanted. 		10 Tango-energy.png 	2 Tango-activation-darker.png 	20 Tango-recharge-darker.png 		Domination Magic	Nightfall
Energy Burn.jpg 	Energy Burn 	Spell. Causes 1...8...10 Energy loss. Deals 9 damage for each point of Energy lost. 		10 Tango-energy.png 	2 Tango-activation-darker.png 	20 Tango-recharge-darker.png 	Tango-quest-icon.png	Domination Magic	Core
Energy Drain.jpg 	Energy Drain 	Elite Spell. Causes 2...8...9 Energy loss. You gain 3 Energy for each point of Energy lost. 		5 Tango-energy.png 	1 Tango-activation-darker.png 	30 Tango-recharge-darker.png 		Inspiration Magic	Core
Energy Surge.jpg 	Energy Surge 	Elite Spell. Causes 1...8...10 Energy loss. Deals 9 damage to target and nearby foes for each point of Energy lost. 		5 Tango-energy.png 	2 Tango-activation-darker.png 	15 Tango-recharge-darker.png 		Domination Magic	Core
Energy Tap.jpg 	Energy Tap 	Spell. Causes 4...6...7 Energy loss. You gain 2 Energy for each point of Energy lost. 		5 Tango-energy.png 	2 Tango-activation-darker.png 	30 Tango-recharge-darker.png 	Tango-quest-icon.png	Inspiration Magic	Core
Epidemic.jpg 	Epidemic 	Spell. Conditions on target foe transfer to adjacent foes. 		5 Tango-energy.png 	¼ Tango-activation-darker.png 	5 Tango-recharge-darker.png 			Core
Ether Feast.jpg 	Ether Feast 	Spell. Cause 3 Energy loss. You gain 20...56...65 Health for each point of Energy lost. 		5 Tango-energy.png 	1 Tango-activation-darker.png 	8 Tango-recharge-darker.png 	Tango-quest-icon.png	Inspiration Magic	Core
Ether Lord.jpg 	Ether Lord 	Hex Spell. You lose all Energy. Target foe has -1...3...3 Energy degeneration and you have +1...3...3 Energy regeneration (5...9...10 seconds). 		5 Tango-energy.png 	2 Tango-activation-darker.png 	20 Tango-recharge-darker.png 	Tango-quest-icon.png	Inspiration Magic	Prophecies
Ether Nightmare.jpg 	Ether Nightmare 	Hex spell. Causes 5...8 Energy loss. Target and foes in the area have -1 Health degeneration for each point of Energy lost (10 seconds). 		10 Tango-energy.png 	3 Tango-activation-darker.png 	25 Tango-recharge-darker.png 		Allegiance rank	Factions
Ether Phantom.jpg 	Ether Phantom 	Hex Spell. (10 seconds.) Causes -1 Energy degeneration. Causes 1...4...5 Energy loss if this hex ends early. 		5 Tango-energy.png 	1 Tango-activation-darker.png 	10 Tango-recharge-darker.png 		Inspiration Magic	Nightfall
Ether Signet.jpg 	Ether Signet 	Signet. You gain 10...18...20 Energy. No effect unless you have less than 5...9...10 Energy. 			1 Tango-activation-darker.png 	45 Tango-recharge-darker.png 		Inspiration Magic	Factions
Ethereal Burden.jpg 	Ethereal Burden 	Hex Spell. (10 seconds.) Target foe moves 50% slower. End effect: you gain 10...16...18 Energy. 		15 Tango-energy.png 	1½ Tango-activation-darker.png 	30 Tango-recharge-darker.png 	Tango-quest-icon.png	Illusion Magic	Prophecies
Expel Hexes.jpg 	Expel Hexes 	Elite Spell. Removes 2 hexes from target ally. 		5 Tango-energy.png 	1 Tango-activation-darker.png 	8 Tango-recharge-darker.png 			Factions
Extend Conditions.jpg 	Extend Conditions 	Elite Spell. Spread all conditions from target foe to foes near your target. Those [sic] durations of those conditions are increased by 5...81...100% (maximum 30 seconds). 		5 Tango-energy.png 	¼ Tango-activation-darker.png 	5 Tango-recharge-darker.png 		Inspiration Magic	Nightfall
Feedback.jpg 	Feedback 	Spell. Removes one enchantment. Removal effect: target foe loses 4...9...10 Energy. 		10 Tango-energy.png 	2 Tango-activation-darker.png 	30 Tango-recharge-darker.png 		Inspiration Magic	Factions
Fevered Dreams.jpg 	Fevered Dreams 	Elite Hex Spell. (10...22...25 seconds.) Foes in the area also have any new conditions that target foe acquires. Inflicts Dazed on target foe (1...3...3 second[s]) if that foe has two or more conditions. 		10 Tango-energy.png 	2 Tango-activation-darker.png 	10 Tango-recharge-darker.png 		Illusion Magic	Prophecies
Fevered Dreams (PvP).jpg 	Fevered Dreams (PvP) 	Elite Hex Spell. (5...13...15 seconds.) Foes in the area also have any new conditions that target foe acquires. 		10 Tango-energy.png 	2 Tango-activation-darker.png 	20 Tango-recharge-darker.png 		Illusion Magic	Prophecies
Fragility.jpg 	Fragility 	Hex Spell. Also hexes foes adjacent to target (8...18...20 seconds). These foes take 5...17...20 damage each time they gain or lose a condition. 		5 Tango-energy.png 	1 Tango-activation-darker.png 	5 Tango-recharge-darker.png 	Tango-quest-icon.png	Illusion Magic	Core
Fragility (PvP).jpg 	Fragility (PvP) 	Hex Spell. (8...18...20 seconds.) Target foe takes 5...17...20 damage each time it gains or loses a condition. 		5 Tango-energy.png 	1 Tango-activation-darker.png 	8 Tango-recharge-darker.png 		Illusion Magic	Core
Frustration.jpg 	Frustration 	Hex Spell. (5...17...20 seconds.) Causes 50% slower spell casting. Target foe takes 5...41...50 damage whenever interrupted. Deals double damage on skill interrupt. 		10 Tango-energy.png 	1 Tango-activation-darker.png 	7 Tango-recharge-darker.png 		Illusion Magic	Nightfall
Frustration (PvP).jpg 	Frustration (PvP) 	Hex Spell. (5...17...20 seconds.) Causes 50% slower spell casting. Target foe takes 5...41...50 damage whenever interrupted. 		10 Tango-energy.png 	1 Tango-activation-darker.png 	15 Tango-recharge-darker.png 		Illusion Magic	Nightfall
Guilt.jpg 	Guilt 	Hex Spell. (6 seconds.) Target foe's next spell fails and you steal 5...12...14 Energy. No effect unless this foe's spell targets one of your allies. 		5 Tango-energy.png 	2 Tango-activation-darker.png 	25 Tango-recharge-darker.png 	Tango-quest-icon.png	Domination Magic	Prophecies
Hex Breaker.jpg 	Hex Breaker 	Stance. (5...65...80 seconds.) The next hex against you fails and the caster takes 10...39...46 damage. 		5 Tango-energy.png 		15 Tango-recharge-darker.png 	Tango-quest-icon.png	Domination Magic	Core
Hex Eater Signet.jpg 	Hex Eater Signet 	Touch Signet. Removes a hex from target and 2...4...5 adjacent allies. Removal effect: you gain 1...3...4 Energy for each hex removed. 			1 Tango-activation-darker.png 	25 Tango-recharge-darker.png 		Inspiration Magic	Factions
Hex Eater Vortex.jpg 	Hex Eater Vortex 	Elite Spell. Removes one hex from target ally. Removal effect: deals 30...78...90 damage and removes one enchantment from foes near this ally. 		10 Tango-energy.png 	1 Tango-activation-darker.png 	15 Tango-recharge-darker.png 		Domination Magic	Nightfall
Hypochondria.jpg 	Hypochondria 	Spell. Transfer all conditions from foes in the area to target foe. 		5 Tango-energy.png 	1 Tango-activation-darker.png 	7 Tango-recharge-darker.png 			Nightfall
Ignorance.jpg 	Ignorance 	Hex Spell. (8...18...20 seconds.) Target foe cannot use signets. 		15 Tango-energy.png 	1 Tango-activation-darker.png 	10 Tango-recharge-darker.png 		Domination Magic	Core
Illusion of Haste.jpg 	Illusion of Haste 	Enchantment Spell. (5...10...11 seconds.) You move 33% faster. Initial effect: removes Crippled condition. End effect: you are Crippled (3 seconds). 		5 Tango-energy.png 	1 Tango-activation-darker.png 	5 Tango-recharge-darker.png 	Tango-quest-icon.png	Illusion Magic	Core
Illusion of Haste (PvP).jpg 	Illusion of Haste (PvP) 	Enchantment Spell. (5...10...11 seconds.) You move 33% faster. End effect: you are Crippled (3 seconds). 		5 Tango-energy.png 	1 Tango-activation-darker.png 	8 Tango-recharge-darker.png 		Illusion Magic	Core
Illusion of Pain.jpg 	Illusion of Pain 	Hex Spell. (8 seconds.) Causes -3...9...10 Health degeneration and target foe takes 3...9...10 damage each second. End effect: that foe is healed for 36...103...120. 		10 Tango-energy.png 	2 Tango-activation-darker.png 	5 Tango-recharge-darker.png 		Illusion Magic	Factions
Illusion of Pain (PvP).jpg 	Illusion of Pain (PvP) 	Hex Spell. (8 seconds.) Causes -3...9...10 Health degeneration and target foe takes 3...9...10 damage each second. End effect: that foe is healed for 36...103...120. Ends if reapplied. 		10 Tango-energy.png 	2 Tango-activation-darker.png 	5 Tango-recharge-darker.png 		Illusion Magic	Factions
Illusion of Weakness.jpg 	Illusion of Weakness 	Enchantment Spell. Lose 50...202...240 Health. End effect: you gain 50...202...240 Health. Ends if damage drops your Health below 25% of your maximum. 		10 Tango-energy.png 	2 Tango-activation-darker.png 	30 Tango-recharge-darker.png 	Tango-quest-icon.png	Illusion Magic	Prophecies
Illusionary Weaponry.jpg 	Illusionary Weaponry 	Elite Enchantment Spell. (30 seconds.) Deals 8...34...40 damage to foes in place of other damage or effects from melee attacks. You have +5 armor for each equipped Illusion Magic skill. Your melee attacks neither hit nor fail to hit. 		5 Tango-energy.png 	1 Tango-activation-darker.png 	25 Tango-recharge-darker.png 		Illusion Magic	Prophecies
Illusionary Weaponry (PvP).jpg 	Illusionary Weaponry (PvP) 	Elite Enchantment Spell. (30 seconds.) Deals 8...34...40 damage to foes in place of other damage or effects from melee attacks. Your melee attacks neither hit nor fail to hit. 		5 Tango-energy.png 	1 Tango-activation-darker.png 	25 Tango-recharge-darker.png 		Illusion Magic	Prophecies
Images of Remorse.jpg 	Images of Remorse 	Hex Spell. (5...9...10 seconds.) Causes -1...3...3 Health degeneration. Initial effect: 10...44...52 damage if target foe is attacking. 		5 Tango-energy.png 	2 Tango-activation-darker.png 	5 Tango-recharge-darker.png 		Illusion Magic	Factions
Imagined Burden.jpg 	Imagined Burden 	Hex Spell. (8...18...20 seconds.) Target foe moves 50% slower. 		15 Tango-energy.png 	1 Tango-activation-darker.png 	30 Tango-recharge-darker.png 	Tango-quest-icon.png	Illusion Magic	Core
Ineptitude.jpg 	Ineptitude 	Elite Hex Spell. (4 seconds.) Also hexes foes adjacent to target. Deals 30...114...135 damage. Inflicts Blindness condition (10 seconds). No effect unless hexed foe attacks. 		10 Tango-energy.png 	1 Tango-activation-darker.png 	15 Tango-recharge-darker.png 		Illusion Magic	Prophecies
Inspired Enchantment.jpg 	Inspired Enchantment 	Spell. Removes an enchantment from target foe. Removal effects: you gain 3...13...15 Energy; this spell is replaced with that enchantment (20 seconds). 		10 Tango-energy.png 	1 Tango-activation-darker.png 		Tango-quest-icon.png	Inspiration Magic	Prophecies
Inspired Hex.jpg 	Inspired Hex 	Spell. Removes a hex from target ally. Removal effects: you gain 4...9...10 Energy; this spell is replaced with that hex (20 seconds). 		5 Tango-energy.png 	1 Tango-activation-darker.png 		Tango-quest-icon.png	Inspiration Magic	Prophecies
Keystone Signet.jpg 	Keystone Signet 	Elite Signet. (20 seconds.) Your next 0...5...6 signet[s] interrupt [sic] and deal 15...51...60 damage to other foes adjacent to your target. Initial Effect: [sic] recharges all of your other signets. 			1 Tango-activation-darker.png 	15 Tango-recharge-darker.png 		Fast Casting	Prophecies
Kitah's Burden.jpg 	Kitah's Burden 	Hex Spell. (10 seconds.) Target foe moves 50% slower. End effect: you gain 10...16...18 Energy. 		15 Tango-energy.png 	1½ Tango-activation-darker.png 	30 Tango-recharge-darker.png 		Illusion Magic	Factions
Leech Signet.jpg 	Leech Signet 	Signet. Interrupts an action. Interruption effect: you gain 3...13...15 Energy if the action was a spell. 			¼ Tango-activation-darker.png 	30 Tango-recharge-darker.png 	Tango-quest-icon.png	Inspiration Magic	Core
Lyssa's Aura.jpg 	Lyssa's Aura 	Elite Enchantment Spell. (10 seconds.) You have +0...4...5 Energy regeneration. Renewal: every time you cast a spell on an enemy. 		5 Tango-energy.png 	1 Tango-activation-darker.png 	30 Tango-recharge-darker.png 		Inspiration Magic	Factions
Lyssa's Balance.jpg 	Lyssa's Balance 	Spell. Removes one enchantment from target foe. No effect if you have more enchantments than this foe. 		5 Tango-energy.png 	1 Tango-activation-darker.png 	15 Tango-recharge-darker.png 			Factions
Mantra of Concentration.jpg 	Mantra of Concentration 	Stance. (1...31...38 seconds.) The next time you would be interrupted, you are not interrupted. 		5 Tango-energy.png 		30 Tango-recharge-darker.png 		Inspiration Magic	Prophecies
Mantra of Earth.jpg 	Mantra of Earth 	Stance. (30...78...90 seconds.) Reduces earth damage you take by 26...45...50%. You gain 2 Energy when you take earth damage. 		10 Tango-energy.png 		20 Tango-recharge-darker.png 	Tango-quest-icon.png	Inspiration Magic	Core
Mantra of Flame.jpg 	Mantra of Flame 	Stance. (30...78...90 seconds.) Reduces fire damage you take by 26...45...50%. You gain 2 Energy when you take fire damage. 		10 Tango-energy.png 		20 Tango-recharge-darker.png 	Tango-quest-icon.png	Inspiration Magic	Core
Mantra of Frost.jpg 	Mantra of Frost 	Stance. (30...78...90 seconds.) Reduces cold damage you take by 26...45...50%. You gain 2 Energy when you take cold damage. 		10 Tango-energy.png 		20 Tango-recharge-darker.png 	Tango-quest-icon.png	Inspiration Magic	Core
Mantra of Inscriptions.jpg 	Mantra of Inscriptions 	Stance. (5...21...25 seconds.) Signets you successfully activate while in this stance recharge 10...34...40% faster. 		10 Tango-energy.png 		20 Tango-recharge-darker.png 		Inspiration Magic	Core
Mantra of Lightning.jpg 	Mantra of Lightning 	Stance. (30...78...90 seconds.) Reduces lightning damage you take by 26...45...50%. You gain 2 Energy when you take lightning damage. 		10 Tango-energy.png 		20 Tango-recharge-darker.png 	Tango-quest-icon.png	Inspiration Magic	Core
Mantra of Persistence.jpg 	Mantra of Persistence 	Stance. (5...21...25 seconds.) Illusion hexes you cast last 10...34...40% longer. 		5 Tango-energy.png 		15 Tango-recharge-darker.png 	Tango-quest-icon.png	Inspiration Magic	Core
Mantra of Recall.jpg 	Mantra of Recall 	Elite Enchantment Spell. (20 seconds.) End effect: you gain 10...22...25 Energy. 		10 Tango-energy.png 	1 Tango-activation-darker.png 	30 Tango-recharge-darker.png 		Inspiration Magic	Prophecies
Mantra of Recovery.jpg 	Mantra of Recovery 	Elite Stance. (5...17...20 seconds.) Your spells recharge 33% faster. 		5 Tango-energy.png 		15 Tango-recharge-darker.png 		Fast Casting	Core
Mantra of Resolve.jpg 	Mantra of Resolve 	Stance. (30...78...90 seconds.) Prevents interrupts against you. Prevention cost: lose 10...5...4 Energy or Mantra of Resolve ends. 		10 Tango-energy.png 		20 Tango-recharge-darker.png 		Inspiration Magic	Core
Mantra of Resolve (PvP).jpg 	Mantra of Resolve (PvP) 	Stance. (5 seconds.) Prevents interrupts against you. Prevention cost: lose 10...5...4 Energy or Mantra of Resolve ends. 		10 Tango-energy.png 		20 Tango-recharge-darker.png 		Inspiration Magic	Core
Mantra of Signets.jpg 	Mantra of Signets 	Stance. (10...34...40 seconds.) You have +3 armor for each signet. You gain 5...49...60 health each time you use a signet. 		5 Tango-energy.png 		20 Tango-recharge-darker.png 		Inspiration Magic	Prophecies
Mantra of Signets (PvP).jpg 	Mantra of Signets (PvP) 	Stance. (10...34...40 seconds.) You gain 5...49...60 Health each time you use a signet. 		5 Tango-energy.png 		20 Tango-recharge-darker.png 		Inspiration Magic	Prophecies
Migraine.jpg 	Migraine 	Elite Hex Spell. (5...17...20 seconds.) Causes -1...7...8 Health degeneration and doubles skill activation time. 		10 Tango-energy.png 	2 Tango-activation-darker.png 	12 Tango-recharge-darker.png 		Illusion Magic	Prophecies
Migraine (PvP).jpg 	Migraine (PvP) 	Elite Hex Spell. (3...10...12 seconds.) Causes -1...7...8 Health degeneration and doubles skill activation time. 		10 Tango-energy.png 	2 Tango-activation-darker.png 	12 Tango-recharge-darker.png 		Illusion Magic	Prophecies
Mind Wrack.jpg 	Mind Wrack 	Hex Spell. (5...33...40 seconds.) Causes 1 Energy loss each time foe is the target of your non-hex Mesmer skills. Deals 5...21...25 damage per point of Energy lost. If target foe's Energy drops to 0, it takes 15...83...100 damage and Mind Wrack ends. 		5 Tango-energy.png 	1 Tango-activation-darker.png 	7 Tango-recharge-darker.png 	Tango-quest-icon.png	Domination Magic	Core
Mind Wrack (PvP).jpg 	Mind Wrack (PvP) 	Hex Spell. (5...33...40 seconds.) Causes 1 Energy loss each time foe is the target of your non-hex Mesmer skills. If target foe's Energy drops to 0, Mind Wrack ends and that foe takes 15...83...100 damage. 		5 Tango-energy.png 	1 Tango-activation-darker.png 	7 Tango-recharge-darker.png 		Domination Magic	Core
Mirror of Disenchantment.jpg 	Mirror of Disenchantment 	Spell. Removes one enchantment from target foe. That foe's party members also lose this enchantment. 		5 Tango-energy.png 	1 Tango-activation-darker.png 	15 Tango-recharge-darker.png 			Nightfall
Mirror of Disenchantment (PvP).jpg 	Mirror of Disenchantment (PvP) 	Spell. Removes one enchantment from target foe. That foe's party members also lose this enchantment. 		15 Tango-energy.png 	1 Tango-activation-darker.png 	20 Tango-recharge-darker.png 			Nightfall
Mistrust.jpg 	Mistrust 	Hex Spell. (6 seconds.) The next spell that target foe casts on one of your allies fails and deals 10...82...100 damage to target and nearby foes. 		10 Tango-energy.png 	2 Tango-activation-darker.png 	12 Tango-recharge-darker.png 		Domination Magic	Nightfall
Mistrust (PvP).jpg 	Mistrust (PvP) 	Hex Spell. (6 seconds.) The next spell that target foe casts on one of your allies fails and deals 10...62...75 damage to target and nearby foes. 		10 Tango-energy.png 	2 Tango-activation-darker.png 	12 Tango-recharge-darker.png 		Domination Magic	Nightfall
Overload.jpg 	Overload 	Hex Spell. (5 seconds.) Causes -1...3...3 Health degeneration. If target foe is using a skill, that foe and all adjacent foes take 15...63...75 damage. 		5 Tango-energy.png 	¼ Tango-activation-darker.png 	5 Tango-recharge-darker.png 		Domination Magic	Factions
Panic.jpg 	Panic 	Elite Hex Spell. Also hexes foes near your target (1...8...10 second[s]). Interrupts all other nearby foes whenever a hexed foe successfully activates a skill. 		10 Tango-energy.png 	1 Tango-activation-darker.png 	15 Tango-recharge-darker.png 		Domination Magic	Prophecies
