Arcane Zeal.jpg 	Arcane Zeal 	Elite Enchantment Spell. (10 seconds.) You gain 1 Energy (maximum 1...6...7) for each enchantment on you whenever you cast a spell. 		10 Tango-energy.png 	1 Tango-activation-darker.png 	5 Tango-recharge-darker.png 		Mysticism	Nightfall
Balthazar's Rage.jpg 	Balthazar's Rage 	Flash Enchantment Spell. (20 seconds.) Initial Effect: Inflicts burning (1...3...3 second[s]) on nearby foes. End effect: gain 1...2...2 strike[s] of adrenaline if any foes are within earshot. 		10 Tango-energy.png 		10 Tango-recharge-darker.png 		Mysticism	Nightfall
Banishing Strike.jpg 	Banishing Strike 	Melee Attack. Deals 10...50...60 holy damage. Deals double damage to summoned creatures. 		5 Tango-energy.png 	1 Tango-activation-darker.png 	3 Tango-recharge-darker.png 		Mysticism	Nightfall
Banishing Strike (PvP).jpg 	Banishing Strike (PvP) 	Melee Attack. Deals 10...50...60 holy damage. Deals double damage to summoned creatures. 		5 Tango-energy.png 		3 Tango-recharge-darker.png 		Mysticism	Nightfall
Chilling Victory.jpg 	Chilling Victory 	Scythe Attack. Deals +3...13...15 damage. Deals 10...26...30 cold damage to each foe hit who has less Health than you and foes adjacent to those targets. 	6 Tango-adrenaline.png 				Tango-quest-icon.png	Scythe Mastery	Nightfall
Conviction.jpg 	Conviction 	Flash Enchantment Spell. (10 seconds.) Gain +10 armor while conditioned. Gain 1...3...3 Health regeneration for each condition you have. End Effect: Remove 1...2...2 condition[s]. 		5 Tango-energy.png 		10 Tango-recharge-darker.png 		Earth Prayers	Nightfall
Crippling Sweep.jpg 	Crippling Sweep 	Scythe Attack. (3...10...12 seconds.) Inflicts Cripple [sic] condition. Deals +3...13...15 damage to moving foes. 		5 Tango-energy.png 		6 Tango-recharge-darker.png 	Tango-quest-icon.png	Scythe Mastery	Nightfall
Crippling Victory.jpg 	Crippling Victory 	Scythe Attack. (3...7...8 seconds) Cripples target foe. If your health is greater than target foe's, all adjacent foes take 10...26...30 earth damage. 	6 Tango-adrenaline.png 					Scythe Mastery	Eye of the North
Dust Cloak.jpg 	Dust Cloak 	Flash Enchantment Spell. (30 seconds.) Your attacks deal earth damage. Initial effect: deals 10...34...40 earth damage to adjacent foes. End effect: inflicts Blindness condition (1...3...4 second[s]) on adjacent foes. 		10 Tango-energy.png 		6 Tango-recharge-darker.png 		Earth Prayers	Nightfall
Dust Cloak (PvP).jpg 	Dust Cloak (PvP) 	Flash Enchantment Spell. (30 seconds.) Your attacks deal earth damage. Initial effect: deals 10...34...40 earth damage to adjacent foes. End effect: inflicts Blindness condition (1...3...4 second[s]) on adjacent foes. 		10 Tango-energy.png 		10 Tango-recharge-darker.png 		Earth Prayers	Nightfall
Dwayna's Touch.jpg 	Dwayna's Touch 	Touch Spell. Heals for 15...51...60 (maximum 150) for each enchantment on you. 		5 Tango-energy.png 	¾ Tango-activation-darker.png 	5 Tango-recharge-darker.png 		Wind Prayers	Nightfall
Ebon Dust Aura.jpg 	Ebon Dust Aura 	Elite Flash Enchantment Spell. (30 seconds.) Deal +3...13...15 earth damage with your melee attacks. Initial Effect: Blinds nearby foes for 1...6...7 second[s]. End Effect: removes Blindness. No effect unless wielding an earth weapon. 		10 Tango-energy.png 		20 Tango-recharge-darker.png 		Earth Prayers	Nightfall
Enchanted Haste.jpg 	Enchanted Haste 	Flash Enchantment Spell. (7 seconds). You move 25% faster. Lose 1 condition if this enchantment ends prematurely. 		10 Tango-energy.png 		15 Tango-recharge-darker.png 			Nightfall
Eremite's Attack.jpg 	Eremite's Attack 	Scythe Attack. Deals +1...8...10 damage and removes a Dervish enchantment. Removal Effect: Deals +1...8...10 damage and strikes all adjacent foes. 		5 Tango-energy.png 		6 Tango-recharge-darker.png 		Scythe Mastery	Nightfall
Eremite's Zeal.jpg 	Eremite's Zeal 	Enchantment Spell. (10 seconds.) Initial effect: you gain 1...3...3 Energy (maximum 8) for each foe in earshot. End effect: you gain 1...3...3 Energy (maximum 8) for each foe in earshot. 		5 Tango-energy.png 	¼ Tango-activation-darker.png 	15 Tango-recharge-darker.png 		Mysticism	Nightfall
Eternal Aura.jpg 	Eternal Aura 	Enchantment Spell. You have +100 max Health. End effect: all party members in the area are resurrected with 40...50% Health and 20...30% Energy. 		15 Tango-energy.png 	4 Tango-activation-darker.png 	30 Tango-recharge-darker.png 		Sunspear rank	Nightfall
Extend Enchantments.jpg 	Extend Enchantments 	Skill. (10 seconds.) Your next Dervish enchantment lasts 10...122...150% longer. 		5 Tango-energy.png 		10 Tango-recharge-darker.png 		Mysticism	Nightfall
Faithful Intervention.jpg 	Faithful Intervention 	Enchantment Spell. You gain 30...126...150 Health the next time damage drops your Health below 50%. 		5 Tango-energy.png 	2 Tango-activation-darker.png 	20 Tango-recharge-darker.png 		Mysticism	Nightfall
Farmer's Scythe.jpg 	Farmer's Scythe 	Scythe Attack. Deals +5...17...20 damage. Instant recharge if you hit more than one foe. 		5 Tango-energy.png 		12 Tango-recharge-darker.png 		Scythe Mastery	Eye of the North
Featherfoot Grace.jpg 	Featherfoot Grace 	Enchantment Spell. (5...17...20 seconds.) You move 25% faster, and conditions expire 25% faster. 		10 Tango-energy.png 	¼ Tango-activation-darker.png 	15 Tango-recharge-darker.png 		Wind Prayers	Nightfall
Fleeting Stability.jpg 	Fleeting Stability 	Flash Enchantment Spell. (2...5...6 seconds.) You cannot be knocked down and move 25% faster. Ends if knockdown prevented. 		5 Tango-energy.png 		10 Tango-recharge-darker.png 		Earth Prayers	Nightfall
Grenth's Aura.jpg 	Grenth's Aura 	Flash Enchantment Spell. (20 seconds.) You deal 5...21...25 less damage and steal 5...21...25 Health when you hit with a scythe. Initial effect: steal 5...21...25 Health from all adjacent foes. 		10 Tango-energy.png 		10 Tango-recharge-darker.png 		Wind Prayers	Eye of the North
Grenth's Fingers.jpg 	Grenth's Fingers 	Flash Enchantment Spell. (30 seconds.) Your attacks deal cold damage. Initial effect: hits nearby foes for 10...34...40 cold damage. End effect: transfers 1...2...2 condition[s] to all nearby foes. 		5 Tango-energy.png 		10 Tango-recharge-darker.png 	Tango-quest-icon.png	Wind Prayers	Nightfall
Grenth's Grasp.jpg 	Grenth's Grasp 	Elite Flash Enchantment Spell. (20 seconds.) Inflicts Crippled condition (1...9...11 second[s]) with your attack skills and transfer 1 condition. No effect unless wielding a cold weapon. 		5 Tango-energy.png 		10 Tango-recharge-darker.png 		Wind Prayers	Nightfall
Guiding Hands.jpg 	Guiding Hands 	Enchantment Spell. (20 seconds.) Your next 0...2...3 attack[s] cannot be blocked. Initial effect: removes Blindness. 		10 Tango-energy.png 	¼ Tango-activation-darker.png 	10 Tango-recharge-darker.png 		Wind Prayers	Nightfall
Guiding Hands (PvP).jpg 	Guiding Hands (PvP) 	Enchantment Spell. (20 seconds.) Your next 0...2...3 attack[s] cannot be blocked. Initial effect: removes Blindness. 		10 Tango-energy.png 	¼ Tango-activation-darker.png 	30 Tango-recharge-darker.png 		Wind Prayers	Nightfall
Harrier's Grasp.jpg 	Harrier's Grasp 	Flash Enchantment Spell. (5...17...20 seconds.) Attacks on moving foes also Cripple them. [sic] Ends after you apply Cripple 1...3...3 times. [sic] Initial Effect: you lose Cripple and 1 other condition. 		10 Tango-energy.png 		15 Tango-recharge-darker.png 		Wind Prayers	Nightfall
Harrier's Haste.jpg 	Harrier's Haste 	Flash Enchantment Spell. (2...7...8 seconds.) You move 25% faster and deal +3...10...12 damage to moving foes. 		10 Tango-energy.png 		10 Tango-recharge-darker.png 		Wind Prayers	Nightfall
Heart of Fury.jpg 	Heart of Fury 	Stance. (2...8...10 seconds.) You attack 25% faster. 	4 Tango-adrenaline.png 					Mysticism	Nightfall
Heart of Fury (PvP).jpg 	Heart of Fury (PvP) 	Stance. (2...8...10 seconds.) You attack 25% faster. 	4 Tango-adrenaline.png 			6 Tango-recharge-darker.png 		Mysticism	Nightfall
Heart of Holy Flame.jpg 	Heart of Holy Flame 	Flash Enchantment Spell. (30 seconds.) Your attacks deal holy damage. Initial effect: deals 5...25...30 holy damage to nearby foes. End effect: inflicts Burning condition (2...4...5 seconds) on nearby foes. 		10 Tango-energy.png 		10 Tango-recharge-darker.png 	Tango-quest-icon.png	Mysticism	Nightfall
Imbue Health.jpg 	Imbue Health 	Spell. Heals for 5...41...50% of your current Health (maximum 300). Cannot self-target. 		10 Tango-energy.png 	¼ Tango-activation-darker.png 	10 Tango-recharge-darker.png 	Tango-quest-icon.png	Mysticism	Nightfall
Intimidating Aura.jpg 	Intimidating Aura 	Enchantment Spell. (60 seconds.) You have +40...88...100 max Health and take -1...8...10 damage from foes with less Health than you. 		10 Tango-energy.png 	¾ Tango-activation-darker.png 	20 Tango-recharge-darker.png 		Mysticism	Nightfall
Irresistible Sweep.jpg 	Irresistible Sweep 	Scythe Attack. Deals +3...13...15. Remove one of your Dervish enchantments. Removal effect: unblockable, removes a stance, deals +3...13...15 additional damage. 		5 Tango-energy.png 		6 Tango-recharge-darker.png 		Scythe Mastery	Nightfall
Irresistible Sweep (PvP).jpg 	Irresistible Sweep (PvP) 	Scythe Attack. Deals +3...13...15 damage. Remove 1 of your Dervish enchantments. Removal effect: unblockable, removes a stance. 	5 Tango-adrenaline.png 					Scythe Mastery	Nightfall
Lyssa's Assault.jpg 	Lyssa's Assault 	Scythe Attack. Interrupts an action. If you are enchanted, the interrupted skill is disabled for an additional 1...8...10 second[s]. This attack does 50% of normal damage. 		5 Tango-energy.png 	½ Tango-activation-darker.png 	15 Tango-recharge-darker.png 		Scythe Mastery	Nightfall
Lyssa's Haste.jpg 	Lyssa's Haste 	Flash Enchantment Spell. (3...13...15 seconds.) Your Dervish enchantments recharge 33% faster. Initial Effect: interrupts all adjacent foes. End Effect: interrupts all adjacent foes. 50% failure chance unless Wind Prayers 5 or higher. 		10 Tango-energy.png 		15 Tango-recharge-darker.png 		Wind Prayers	Nightfall
Lyssa's Haste (PvP).jpg 	Lyssa's Haste (PvP) 	Flash Enchantment Spell. (3...13...15 seconds.) Your Dervish enchantments recharge 33% faster. Initial Effect: interrupts all adjacent foes. End Effect: interrupts all adjacent foes. 50% failure chance unless Wind Prayers 5 or higher. 		10 Tango-energy.png 		25 Tango-recharge-darker.png 		Wind Prayers	Nightfall
Meditation.jpg 	Meditation 	Enchantment Spell. (20 seconds.) Lose all adrenaline. Gain 1...3...4 Energy whenever an enchantment on you ends. 		10 Tango-energy.png 	¼ Tango-activation-darker.png 	20 Tango-recharge-darker.png 		Mysticism	Nightfall
Mirage Cloak.jpg 	Mirage Cloak 	Flash Enchantment Spell. (1...6...7 second[s].) You have 40...72...80% chance to block. Initial Effect: deals 10...34...40 earth damage to nearby foes. 		10 Tango-energy.png 		10 Tango-recharge-darker.png 		Earth Prayers	Nightfall
Mystic Corruption.jpg 	Mystic Corruption 	Flash Enchantment Spell. (20 seconds.) Initial Effect: all adjacent foes are Diseased (1...2...2 second[s].) Double duration if you are already enchanted. End Effect: party members in earshot lose Disease. 		10 Tango-energy.png 		10 Tango-recharge-darker.png 		Mysticism	Nightfall
Mystic Healing.jpg 	Mystic Healing 	Spell. Heals you for 5...53...65. Heals all enchanted party members for 5...53...65 Health. 		5 Tango-energy.png 	1 Tango-activation-darker.png 	4 Tango-recharge-darker.png 		Wind Prayers	Nightfall
Mystic Healing (PvP).jpg 	Mystic Healing (PvP) 	Spell. Heals you for 5...53...65. Heals all enchanted party members for 5...53...65 Health. 		5 Tango-energy.png 	1 Tango-activation-darker.png 	20 Tango-recharge-darker.png 		Wind Prayers	Nightfall
Mystic Regeneration.jpg 	Mystic Regeneration 	Enchantment Spell. (5...17...20 seconds.) You have +1...3...4 Health regeneration for each enchantment (maximum of 8) on you. 		10 Tango-energy.png 	¼ Tango-activation-darker.png 	10 Tango-recharge-darker.png 		Earth Prayers	Nightfall
Mystic Regeneration (PvP).jpg 	Mystic Regeneration (PvP) 	Enchantment Spell. (5...17...20 seconds.) You have +1...3...4 Health regeneration for each enchantment (maximum of 3) on you. 		10 Tango-energy.png 	¼ Tango-activation-darker.png 	12 Tango-recharge-darker.png 		Earth Prayers	Nightfall
Mystic Sandstorm.jpg 	Mystic Sandstorm 	Spell. (3 seconds.) Deals 10...18...20 earth damage each second. Deals an additional 10...18...20 damage to attacking foes. Hits foes nearby your initial location. Lasts twice as long if you are enchanted. 	5 Tango-adrenaline.png 		1 Tango-activation-darker.png 	8 Tango-recharge-darker.png 		Earth Prayers	Nightfall
Mystic Sweep.jpg 	Mystic Sweep 	Melee Attack. Deals +3...10...12 damage. Deals an additional +3...10...12 damage if you are enchanted. 		5 Tango-energy.png 	1 Tango-activation-darker.png 	6 Tango-recharge-darker.png 		Mysticism	Nightfall
Mystic Twister.jpg 	Mystic Twister 	Spell. Deals 10...50...60 cold damage to all nearby foes. Deals 10...50...60 more cold damage if you are enchanted. 	5 Tango-adrenaline.png 		1 Tango-activation-darker.png 	8 Tango-recharge-darker.png 		Wind Prayers	Nightfall
Mystic Vigor.jpg 	Mystic Vigor 	Enchantment Spell. (20 seconds.) You gain 3...13...15 Health (maximum 25) for each enchantment on you whenever you hit with an attack. 		5 Tango-energy.png 	¼ Tango-activation-darker.png 	15 Tango-recharge-darker.png 		Mysticism	Nightfall
Natural Healing.jpg 	Natural Healing 	Spell. Heals you for 50...146...170. This skill activates 50% faster if you are not enchanted. 		5 Tango-energy.png 	2 Tango-activation-darker.png 	6 Tango-recharge-darker.png 		Wind Prayers	Nightfall
Onslaught.jpg 	Onslaught 	Elite Flash Enchantment Spell. (3...13...15 seconds.) You attack, move and gain adrenaline 25% faster. 		10 Tango-energy.png 		10 Tango-recharge-darker.png 		Wind Prayers	Nightfall
Onslaught (PvP).jpg 	Onslaught (PvP) 	Elite Flash Enchantment Spell. (2...7...8 seconds.) You attack and gain adrenaline 25% faster. 		10 Tango-energy.png 		10 Tango-recharge-darker.png 		Wind Prayers	Nightfall
Pious Assault.jpg 	Pious Assault 	Melee Attack. Deals +10...18...20 damage. Removes 1 of your Dervish enchantments. Removal Effect: this skill recharges 75% faster and adjacent foes take 10...26...30 damage. 		5 Tango-energy.png 		12 Tango-recharge-darker.png 		Scythe Mastery	Nightfall
Pious Assault (PvP).jpg 	Pious Assault (PvP) 	Melee Attack. Removes 1 of your Dervish enchantments. Removal effect: this skill recharges 75% faster and adjacent foes take 10...26...30 damage. 		5 Tango-energy.png 		12 Tango-recharge-darker.png 		Scythe Mastery	Nightfall
Pious Concentration.jpg 	Pious Concentration 	Stance. (5...17...20 seconds.) Prevents interrupts. Prevention cost: you lose one Dervish enchantment or Pious Concentration ends. 		10 Tango-energy.png 		10 Tango-recharge-darker.png 		Earth Prayers	Nightfall
Pious Fury.jpg 	Pious Fury 	Stance. (1...6...7 second[s].)You [sic] attack 25% faster and remove 1 of your Dervish enchantments. Removal effect: this stance lasts twice as long. 		5 Tango-energy.png 		10 Tango-recharge-darker.png 		Mysticism	Eye of the North
Pious Fury (PvP).jpg 	Pious Fury (PvP) 	Stance. (1...4...5 second[s].)You [sic] attack 25% faster and remove 1 of your Dervish enchantments. Removal effect: this stance lasts twice as long. 		5 Tango-energy.png 		15 Tango-recharge-darker.png 		Mysticism	Eye of the North
Pious Haste.jpg 	Pious Haste 	Stance. (1...6...7 second[s].) Lose 1 Dervish enchantment and move 25% faster. Removal Effect: Run 50% faster instead. 		5 Tango-energy.png 		12 Tango-recharge-darker.png 		Mysticism	Nightfall
Pious Renewal.jpg 	Pious Renewal 	Elite Flash Enchantment Spell. (8 seconds.) End Effect: recharges itself and you gain 0...4...5 Energy and 0...24...30 Health. 		5 Tango-energy.png 		8 Tango-recharge-darker.png 		Mysticism	Nightfall
Pious Restoration.jpg 	Pious Restoration 	Spell. Gain 80...136...150 Health and remove 1 Dervish enchantment. Removal effect: lose 1...2...2 hex[es]. 		5 Tango-energy.png 	1 Tango-activation-darker.png 	8 Tango-recharge-darker.png 		Wind Prayers	Nightfall
Radiant Scythe.jpg 	Radiant Scythe 	Scythe Attack. Deals +1 damage (maximum 5...25...30) for each point of Energy you have. Gain 1...6...7 Energy. 	6 Tango-adrenaline.png 					Scythe Mastery	Eye of the North
Reap Impurities.jpg 	Reap Impurities 	Melee Attack. Deals +3...13...15 damage. Struck foes lose 1 condition. Removal Effect: all foes adjacent to those struck take 10...34...40 holy damage. 	5 Tango-adrenaline.png 					Scythe Mastery	Nightfall
Reaper's Sweep.jpg 	Reaper's Sweep 	Elite Scythe Attack. (3...13...15 seconds.) Cause Cripple. Lose 1 Dervish enchantment. Removal Effect: cause knockdown for 2...3...3 seconds. 	8 Tango-adrenaline.png 					Scythe Mastery	Nightfall
Rending Aura.jpg 	Rending Aura 	Flash Enchantment Spell. (30 seconds.) Your attack skills remove enchantments from knocked-down foes. Initial effect: deals 10...34...40 cold damage to all nearby foes. End effect: nearby foes have Cracked Armor for 1...8...10 second[s]. 		10 Tango-energy.png 		6 Tango-recharge-darker.png 		Wind Prayers	Nightfall
Rending Sweep.jpg 	Rending Sweep 	Scythe Attack. Deals +5...17...20 damage. You lose 1 Dervish enchantment. Removal effect: struck foes lose an enchantment. 	6 Tango-adrenaline.png 					Scythe Mastery	Nightfall
Rending Touch.jpg 	Rending Touch 	Touch Spell. Deals 15...55...65 cold damage. Lose 1 Dervish enchantment. Removal effect: target foe loses 1 enchantment and you gain 1 strike of adrenaline. 		5 Tango-energy.png 	¾ Tango-activation-darker.png 	12 Tango-recharge-darker.png 		Mysticism	Nightfall
Sand Shards.jpg 	Sand Shards 	Flash Enchantment Spell. (30 seconds.) Deal 10...50...60 earth damage to all other adjacent foes whenever you hit with your scythe. Ends after 1...4...5 hit[s]. 		10 Tango-energy.png 		10 Tango-recharge-darker.png 		Earth Prayers	Nightfall
Shield of Force.jpg 	Shield of Force 	Flash Enchantment Spell. (1...13...16 second[s].) Blocks the next 1 attack against you. Knocks down and inflicts Weakness (5...17...20 seconds) on all adjacent attacking foes. 		10 Tango-energy.png 		12 Tango-recharge-darker.png 		Earth Prayers	Eye of the North
Signet of Mystic Speed.jpg 	Signet of Mystic Speed 	Signet. (30 seconds.) Your next 1...3...3 self-targeted enchantments [sic] cast instantly. Flash enchantments do not consume uses of this skill. 			1 Tango-activation-darker.png 	20 Tango-recharge-darker.png 		Wind Prayers	Eye of the North
Signet of Pious Light.jpg 	Signet of Pious Light 	Signet. Heals for 30...126...150. Removes one of your Dervish enchantments. Removal effect: recharges 75% faster. 			1 Tango-activation-darker.png 	20 Tango-recharge-darker.png 		Earth Prayers	Nightfall
Signet of Pious Restraint.jpg 	Signet of Pious Restraint 	Signet. Inflicts Crippled condition (5...13...15 seconds). Remove one of your Dervish enchantments. Removal effect: also causes Cripple to foes nearby your target and recharges 75% faster. 			1 Tango-activation-darker.png 	20 Tango-recharge-darker.png 		Wind Prayers	Eye of the North
Signet of Pious Restraint (PvP).jpg 	Signet of Pious Restraint (PvP) 	Signet. (5...13...15 seconds.) Cripples target foe and removes 1 of your Dervish enchantments. Removal effect: recharges 75% faster. 			1 Tango-activation-darker.png 	20 Tango-recharge-darker.png 		Wind Prayers	Eye of the North
Staggering Force.jpg 	Staggering Force 	Flash Enchantment Spell. (30 seconds.) Your attacks deal earth damage. Initial effect: deals 10...34...40 earth damage to nearby foes. End effect: inflicts Cracked Armor condition (1...8...10 second[s]) on nearby foes. 		10 Tango-energy.png 		6 Tango-recharge-darker.png 		Earth Prayers	Nightfall
Test of Faith.jpg 	Test of Faith 	Touch Spell. Deals 15...55...65 cold damage and removes 1 enchantment. Target foe is Dazed for 1...3...4 second[s] if that foe was not enchanted. 	7 Tango-adrenaline.png 		¾ Tango-activation-darker.png 	5 Tango-recharge-darker.png 		Wind Prayers	Nightfall
Twin Moon Sweep.jpg 	Twin Moon Sweep 	Melee Attack. Remove 1 of your Dervish enchantments. Gain 10...42...50 Health. Removal effect: unblockable, attack twice, and gain 10...58...70 more Health. 	7 Tango-adrenaline.png 					Scythe Mastery	Nightfall
Twin Moon Sweep (PvP).jpg 	Twin Moon Sweep (PvP) 	Melee Attack. Remove 1 of your Dervish enchantments. Gain 10...18...20 Health. Removal effect: Unblockable, attack twice, each strike doing 25% less damage, and gain 10...26...30 more Health. 	7 Tango-adrenaline.png 					Scythe Mastery	Nightfall
Veil of Thorns.jpg 	Veil of Thorns 	Flash Enchantment Spell. (5...21...25 seconds.) Spell damage is reduced by 5...29...35%. Initial Effect: nearby foes are struck for 5...41...50 piercing damage. 		10 Tango-energy.png 		15 Tango-recharge-darker.png 		Earth Prayers	Nightfall
Victorious Sweep.jpg 	Victorious Sweep 	Melee Attack. Deals +5...21...25 damage. You gain 30...70...80 Health for each foe you hit that has less Health than you. 		5 Tango-energy.png 		4 Tango-recharge-darker.png 		Scythe Mastery	Nightfall
Vital Boon.jpg 	Vital Boon 	Enchantment Spell. (20 seconds.) You have +40...88...100 maximum Health. End effect: Heals you for 75...175...200. 		5 Tango-energy.png 	1 Tango-activation-darker.png 	8 Tango-recharge-darker.png 	Tango-quest-icon.png	Earth Prayers	Nightfall
Vow of Piety.jpg 	Vow of Piety 	Enchantment Spell. (20 seconds) +24 armor and +1...3...4 Health regeneration. Renewal: Whenever an enchantment on you ends. 		15 Tango-energy.png 	¼ Tango-activation-darker.png 	45 Tango-recharge-darker.png 		Wind Prayers	Nightfall
Vow of Revolution.jpg 	Vow of Revolution 	Elite Enchantment Spell. (3...9...10 seconds.) Gain +1...4...5 energy regeneration. Renewal: whenever you use a non-Dervish skill. PvE Skill 		10 Tango-energy.png 	1 Tango-activation-darker.png 	20 Tango-recharge-darker.png 		Mysticism	Core
Vow of Silence.jpg 	Vow of Silence 	Elite Enchantment Spell. (5...9...10 seconds.) Spells cannot target you. You cannot cast spells. 		5 Tango-energy.png 	¼ Tango-activation-darker.png 	10 Tango-recharge-darker.png 		Mysticism	Nightfall
Vow of Strength.jpg 	Vow of Strength 	Elite Enchantment Spell. (15 seconds.) When you attack with a scythe, deals 10...22...25 slashing damage to adjacent foes. 		5 Tango-energy.png 	¼ Tango-activation-darker.png 	20 Tango-recharge-darker.png 		Earth Prayers	Nightfall
Watchful Intervention.jpg 	Watchful Intervention 	Enchantment Spell. (60 seconds.) Heals for 50...170...200 the next time damage drops target ally's Health below 25%. 		10 Tango-energy.png 	1 Tango-activation-darker.png 	15 Tango-recharge-darker.png 		Mysticism	Nightfall
Wearying Strike.jpg 	Wearying Strike 	Scythe Attack. Remove 1 Dervish Enchantment. Removal Effect: Inflicts Deep Wound condition (3...9...10 seconds). You are Weakened (10 seconds) if an enchantment is not lost. 	6 Tango-adrenaline.png 					Scythe Mastery	Nightfall
Whirling Charge.jpg 	Whirling Charge 	Flash Enchantment Spell. (1...5...6 second[s].) You move 33% faster. Deal 10...50...60 cold damage to all other nearby foes the next time you hit a foe and this enchantment ends. 		10 Tango-energy.png 		6 Tango-recharge-darker.png 	Tango-quest-icon.png	Wind Prayers	Nightfall
Winds of Disenchantment.jpg 	Winds of Disenchantment 	Spell. Remove one of your Dervish enchantments. Removal effect: all nearby foes lose 1 enchantment and take 20...68...80 cold damage. 		10 Tango-energy.png 	¾ Tango-activation-darker.png 	15 Tango-recharge-darker.png 		Wind Prayers	Nightfall
