Angorodon's Gaze.jpg 	Angorodon's Gaze 	Spell. Steals 10...42...50 Health. You gain 3...10...12 Energy if you have a condition. 		5 Tango-energy.png 	1 Tango-activation-darker.png 	10 Tango-recharge-darker.png 		Soul Reaping	Eye of the North
Defile Enchantments.jpg 	Defile Enchantments 	Spell. Deals 6...49...60 damage to target and nearby foes. Deals 4...17...20 more damage for each enchantment on them. 		10 Tango-energy.png 	2 Tango-activation-darker.png 	15 Tango-recharge-darker.png 		Curses	Factions
Defile Flesh.jpg 	Defile Flesh 	Hex Spell. (5...29...35 seconds.) Reduces healing target foe receives by 33%. Only skills with the word "heal" in the description are affected. 	10% Tango-sacrifice.png 	10 Tango-energy.png 	1 Tango-activation-darker.png 	10 Tango-recharge-darker.png 	Tango-quest-icon.png	Curses	Core
Demonic Flesh.jpg 	Demonic Flesh 	Enchantment Spell. (30...54...60 seconds.) When using a skill on a foe, deal 5...17...20 shadow damage to all other foes adjacent to you. 		5 Tango-energy.png 	1 Tango-activation-darker.png 	30 Tango-recharge-darker.png 	Tango-quest-icon.png	Blood Magic	Core
Depravity.jpg 	Depravity 	Elite Hex Spell. (5...17...20 seconds.) Causes 1...4...5 Energy loss whenever target foe casts a spell. One foe near your target also loses Energy. 		10 Tango-energy.png 	2 Tango-activation-darker.png 	15 Tango-recharge-darker.png 		Curses	Nightfall
Desecrate Enchantments.jpg 	Desecrate Enchantments 	Spell. Deals 6...49...60 damage to target and nearby foes. Deals 4...17...20 more damage for each enchantment on them. 		10 Tango-energy.png 	2 Tango-activation-darker.png 	15 Tango-recharge-darker.png 		Curses	Prophecies
Discord.jpg 	Discord 	Elite Spell. Deals 30...94...110 damage. No effect unless target foe has a condition and is either hexed or enchanted. 		5 Tango-energy.png 	1 Tango-activation-darker.png 	2 Tango-recharge-darker.png 		Death Magic	Factions
Discord (PvP).jpg 	Discord (PvP) 	Elite Spell. Deals 30...94...110 damage. No effect unless target foe has a condition and is either hexed or enchanted. 		5 Tango-energy.png 	2 Tango-activation-darker.png 	2 Tango-recharge-darker.png 		Death Magic	Factions
Enfeeble.jpg 	Enfeeble 	Spell. Inflicts Weakness condition (10...26...30 seconds). 		5 Tango-energy.png 	¼ Tango-activation-darker.png 	5 Tango-recharge-darker.png 	Tango-quest-icon.png	Curses	Prophecies
Enfeeble (PvP).jpg 	Enfeeble (PvP) 	Spell. Inflicts Weakness condition (10...26...30 seconds). 		5 Tango-energy.png 	¼ Tango-activation-darker.png 	10 Tango-recharge-darker.png 		Curses	Prophecies
Enfeebling Blood.jpg 	Enfeebling Blood 	Spell. Inflicts Weakness condition (5...17...20 seconds) on this foe and nearby foes. 	10% Tango-sacrifice.png 	1 Tango-energy.png 	1 Tango-activation-darker.png 	8 Tango-recharge-darker.png 	Tango-quest-icon.png	Curses	Core
Enfeebling Blood (PvP).jpg 	Enfeebling Blood (PvP) 	Spell. Inflicts Weakness condition (1...13...16 second[s]) on this foe and nearby foes. 	17% Tango-sacrifice.png 	1 Tango-energy.png 	1 Tango-activation-darker.png 	8 Tango-recharge-darker.png 		Curses	Core
Enfeebling Touch.jpg 	Enfeebling Touch 	Touch Skill. Causes 5...41...50 Health loss. Inflicts Weakness condition (5...17...20 seconds). 		5 Tango-energy.png 	¾ Tango-activation-darker.png 	5 Tango-recharge-darker.png 		Curses	Factions
Envenom Enchantments.jpg 	Envenom Enchantments 	Spell. Removes one enchantment from target foe. Inflicts Poisoned condition (3...9...10 seconds for each remaining enchantment on that foe). 		5 Tango-energy.png 	1 Tango-activation-darker.png 	20 Tango-recharge-darker.png 		Curses	Nightfall
Faintheartedness.jpg 	Faintheartedness 	Hex Spell. (3...13...16 seconds.) Target foe attacks 50% slower and has -0...2...3 Health degeneration. 		10 Tango-energy.png 	1 Tango-activation-darker.png 	8 Tango-recharge-darker.png 	Tango-quest-icon.png	Curses	Core
Feast for the Dead.jpg 	Feast for the Dead 	Spell. Destroys one of your undead servants. Heals your servants for 10...82...100. 		5 Tango-energy.png 	¼ Tango-activation-darker.png 	10 Tango-recharge-darker.png 		Death Magic	Nightfall
Feast of Corruption.jpg 	Feast of Corruption 	Elite Spell. Deals 16...67...80 damage to target and adjacent foes. Steal 8...34...40 Health from each hexed foe. 		15 Tango-energy.png 	2 Tango-activation-darker.png 	20 Tango-recharge-darker.png 		Curses	Prophecies
Fetid Ground.jpg 	Fetid Ground 	Spell. Deals 15...55...65 cold damage. Inflicts Poisoned condition (5...17...20 seconds) if target foe is knocked-down. 		5 Tango-energy.png 	¾ Tango-activation-darker.png 	10 Tango-recharge-darker.png 		Death Magic	Factions
Foul Feast.jpg 	Foul Feast 	Spell. Transfers all conditions from target ally to yourself. You gain 0...36...45 Health and 0...2...2 Energy for each condition transferred. Half recharge if you remove Disease. Cannot self-target. 		5 Tango-energy.png 	¼ Tango-activation-darker.png 	4 Tango-recharge-darker.png 		Soul Reaping	Eye of the North
Gaze of Contempt.jpg 	Gaze of Contempt 	Spell. Removes target foe's enchantments. No effect unless this foe has more than 50% Health. 		10 Tango-energy.png 	2 Tango-activation-darker.png 	15 Tango-recharge-darker.png 			Factions
Grenth's Balance.jpg 	Grenth's Balance 	Elite Spell. You gain Health equal to half the difference between you and target, and this foe loses an equal amount. If this foe has less Health than you, you lose Health equal to half the difference. 		10 Tango-energy.png 	¼ Tango-activation-darker.png 	10 Tango-recharge-darker.png 			Core
Hexer's Vigor.jpg 	Hexer's Vigor 	Enchantment Spell. (10 seconds.) You have +1...7...8 Health regeneration. Ends if you use a non-hex skill. 		5 Tango-energy.png 	¼ Tango-activation-darker.png 	10 Tango-recharge-darker.png 		Soul Reaping	Eye of the North
Icy Veins.jpg 	Icy Veins 	Elite Hex Spell. (10...30...35 seconds.) Deals 20...92...110 cold damage to nearby foes if target foe dies. Initial effect: deals 10...74...90 cold damage. 		10 Tango-energy.png 	1 Tango-activation-darker.png 	5 Tango-recharge-darker.png 		Soul Reaping	Factions
Infuse Condition.jpg 	Infuse Condition 	Enchantment Spell. (15...51...60 seconds.) Whenever you receive a condition, it transfers from you to your closest undead servant. 		5 Tango-energy.png 	1 Tango-activation-darker.png 	20 Tango-recharge-darker.png 		Death Magic	Prophecies
Insidious Parasite.jpg 	Insidious Parasite 	Hex Spell. (5...13...15 seconds.) Steal 15...39...45 Health whenever target foe hits with an attack. 		15 Tango-energy.png 	1 Tango-activation-darker.png 	12 Tango-recharge-darker.png 	Tango-quest-icon.png	Curses	Prophecies
Jagged Bones.jpg 	Jagged Bones 	Elite Enchantment Spell. (30 seconds.) When target undead servant dies, it is replaced by a level 0...12...15 jagged horror that inflicts Bleeding with attacks. 		5 Tango-energy.png 	1 Tango-activation-darker.png 	15 Tango-recharge-darker.png 		Death Magic	Nightfall
Jaundiced Gaze.jpg 	Jaundiced Gaze 	Enchantment Spell. Removes an enchantment from target foe. Removal effect: your next enchantment casts 0...1...1 second[s] faster and costs 1...8...10 less Energy. (1...12...15 second[s]) 		10 Tango-energy.png 	1 Tango-activation-darker.png 	15 Tango-recharge-darker.png 		Blood Magic	Factions
Life Siphon.jpg 	Life Siphon 	Hex Spell. (12...22...24 seconds.) Target foe has -1...3...3 Health degeneration. You have +1...3...3 Health regeneration. 		10 Tango-energy.png 	1 Tango-activation-darker.png 	5 Tango-recharge-darker.png 	Tango-quest-icon.png	Blood Magic	Core
Life Transfer.jpg 	Life Transfer 	Elite Hex Spell. Also hexes foes adjacent to target (6...11...12 second). Causes -3...7...8 Health degeneration. You have +3...7...8 Health regeneration. 		5 Tango-energy.png 	1 Tango-activation-darker.png 	20 Tango-recharge-darker.png 		Blood Magic	Prophecies
Lifebane Strike.jpg 	Lifebane Strike 	Spell. Deals 12...41...48 damage. Steals 12...41...48 Health if target foe's Health is above 50%. 		10 Tango-energy.png 	2 Tango-activation-darker.png 	15 Tango-recharge-darker.png 		Blood Magic	Factions
Lingering Curse.jpg 	Lingering Curse 	Elite Hex Spell. (6...25...30 seconds.) Target and nearby foes have -0...2...3 Health degeneration and receive 20% less benefit from healing. 		15 Tango-energy.png 	1 Tango-activation-darker.png 	10 Tango-recharge-darker.png 		Curses	Core
Malaise.jpg 	Malaise 	Hex Spell. (5...29...35 seconds.) Causes -1 Energy degeneration. Deals 5...41...50 damage if target foe's Energy drops to 0. You have -1 Health degeneration. Ends if this foe's Energy drops to 0. 		5 Tango-energy.png 	2 Tango-activation-darker.png 	2 Tango-recharge-darker.png 	Tango-quest-icon.png	Curses	Prophecies
Malign Intervention.jpg 	Malign Intervention 	Hex Spell. (5...17...20 seconds.) Target foe receives 20% less from healing. If this foe dies while suffering from this hex, a level 1...14...17 masterless bone horror is summoned. 		10 Tango-energy.png 	1 Tango-activation-darker.png 	5 Tango-recharge-darker.png 		Death Magic	Prophecies
Mark of Fury.jpg 	Mark of Fury 	Hex Spell. (5 seconds.) Allies hitting target foe gain 0...2...2 strike[s] of adrenaline. End effect: inflicts Cracked Armor (1...12...15 second[s].) 		5 Tango-energy.png 	¾ Tango-activation-darker.png 	10 Tango-recharge-darker.png 		Blood Magic	Nightfall
Mark of Pain.jpg 	Mark of Pain 	Hex Spell. (30 seconds.) Deals 10...34...40 damage to adjacent foes whenever target foe takes physical damage. 		10 Tango-energy.png 	1 Tango-activation-darker.png 	20 Tango-recharge-darker.png 	Tango-quest-icon.png	Curses	Core
Mark of Subversion.jpg 	Mark of Subversion 	Hex Spell. (6 seconds.) Target foe's next spell fails and you steal 10...76...92 Health. No effect unless this foe's spell targeted one of its allies. 		10 Tango-energy.png 	2 Tango-activation-darker.png 	30 Tango-recharge-darker.png 		Blood Magic	Prophecies
Masochism.jpg 	Masochism 	Enchantment Spell. (10...34...40 seconds.) You have +2 Death Magic and Soul Reaping. Sacrifice 5...3...3% Health when you cast a spell. 		5 Tango-energy.png 	1 Tango-activation-darker.png 	20 Tango-recharge-darker.png 		Soul Reaping	Eye of the North
Masochism (PvP).jpg 	Masochism (PvP) 	Enchantment Spell. (30 seconds.) You gain 1...3...3 Energy whenever you sacrifice Health. 		5 Tango-energy.png 	1 Tango-activation-darker.png 	20 Tango-recharge-darker.png 		Soul Reaping	Eye of the North
Meekness.jpg 	Meekness 	Hex Spell. Also hexes foes in the area of target (5...25...30 seconds). These foes attack 50% slower. 	17% Tango-sacrifice.png 	15 Tango-energy.png 	2 Tango-activation-darker.png 	15 Tango-recharge-darker.png 		Curses	Nightfall
Necrosis.jpg 	Necrosis 	Skill. Deals 60...90 damage if target foe has a condition or hex. 		5 Tango-energy.png 	1 Tango-activation-darker.png 	2 Tango-recharge-darker.png 		Sunspear rank	Nightfall
Necrotic Traversal.jpg 	Necrotic Traversal 	Spell. Teleport to a corpse's location. Inflicts Poisoned condition (5...17...20 seconds). Affects all nearby foes. Exploits a fresh corpse. 		5 Tango-energy.png 	¾ Tango-activation-darker.png 		Tango-quest-icon.png	Death Magic	Prophecies
Offering of Blood.jpg 	Offering of Blood 	Elite Spell. You gain 8...18...20 Energy. 	20% Tango-sacrifice.png 	1 Tango-energy.png 	¼ Tango-activation-darker.png 	15 Tango-recharge-darker.png 		Blood Magic	Prophecies
Oppressive Gaze.jpg 	Oppressive Gaze 	Spell. Deals 10...26...30 damage to target and adjacent foes. Inflicts Poison and Weakness (3...10...12 second) on foes suffering from a condition. 		10 Tango-energy.png 	1 Tango-activation-darker.png 	10 Tango-recharge-darker.png 		Blood Magic	Factions
Order of Apostasy.jpg 	Order of Apostasy 	Elite Enchantment Spell. Enchants all party members (5 seconds). These party members remove one enchantment when they deal physical damage. Removal cost: for each Monk enchantment, you lose 25...17...15% maximum Health. 		25 Tango-energy.png 	2 Tango-activation-darker.png 			Curses	Factions
Order of Pain.jpg 	Order of Pain 	Enchantment Spell. Enchants all party members (5 seconds). 3...13...16 more damage whenever these party members hit with physical damage. 	17% Tango-sacrifice.png 	10 Tango-energy.png 	2 Tango-activation-darker.png 			Blood Magic	Core
Order of Undeath.jpg 	Order of Undeath 	Elite Spell. (5 seconds.) Your undead servants deal +3...13...16 damage. You lose 2% of your maximum Health whenever your servants hit. 		10 Tango-energy.png 	1 Tango-activation-darker.png 	5 Tango-recharge-darker.png 		Death Magic	Nightfall
Order of the Vampire.jpg 	Order of the Vampire 	Elite Enchantment Spell. Enchants all party members (5 seconds.) These party members steal 3...13...16 Health with each physical damage attack. Party members under another Necromancer enchantment are not affected. 	17% Tango-sacrifice.png 	5 Tango-energy.png 	2 Tango-activation-darker.png 	5 Tango-recharge-darker.png 		Blood Magic	Prophecies
Pain of Disenchantment.jpg 	Pain of Disenchantment 	Elite Spell. Target foe loses 1...3...3 enchantment[s]. Removal effect: that foe and all adjacent foes lose 10...82...100 Health. 		10 Tango-energy.png 	1 Tango-activation-darker.png 	15 Tango-recharge-darker.png 		Curses	Nightfall
Parasitic Bond.jpg 	Parasitic Bond 	Hex Spell. (20 seconds.) Causes -1 Health degeneration. End effect: you are healed for 30...102...120 Health. 		5 Tango-energy.png 	1 Tango-activation-darker.png 	2 Tango-recharge-darker.png 	Tango-quest-icon.png	Curses	Core
Plague Sending.jpg 	Plague Sending 	Spell. Transfer 1...3...3 condition[s] and [its/their] remaining duration[s] from yourself to target foe and all adjacent foes. 	10% Tango-sacrifice.png 	1 Tango-energy.png 	1 Tango-activation-darker.png 	5 Tango-recharge-darker.png 		Curses	Prophecies
Plague Signet.jpg 	Plague Signet 	Elite Signet. Transfers all conditions with 100...180...200% of their remaining durations from yourself to target foe. 50% failure chance unless Curses 5 or more. 			1 Tango-activation-darker.png 	4 Tango-recharge-darker.png 		Curses	Core
Plague Touch.jpg 	Plague Touch 	Touch Skill. Transfers 1...3...3 condition[s] from yourself to target foe. 		5 Tango-energy.png 	¾ Tango-activation-darker.png 		Tango-quest-icon.png	Curses	Core
Poisoned Heart.jpg 	Poisoned Heart 	Spell. Inflicts Poisoned condition (5...13...15 seconds) to adjacent foes. You are also Poisoned. 		5 Tango-energy.png 	¼ Tango-activation-darker.png 	12 Tango-recharge-darker.png 		Curses	Nightfall
Price of Failure.jpg 	Price of Failure 	Hex Spell. (30 seconds.) 25% chance to miss. Target foe takes 1...37...46 damage whenever it fails to hit. 		15 Tango-energy.png 	2 Tango-activation-darker.png 	20 Tango-recharge-darker.png 	Tango-quest-icon.png	Curses	Prophecies
Putrid Bile.jpg 	Putrid Bile 	Hex Spell. (5...17...20 seconds.) Causes -1...3...3 Health degeneration. Deals 25...73...85 damage to all nearby foes if target foe dies. 		10 Tango-energy.png 	1 Tango-activation-darker.png 	12 Tango-recharge-darker.png 		Death Magic	Eye of the North
Putrid Explosion.jpg 	Putrid Explosion 	Spell. Explodes a corpse, dealing 24...101...120 damage to foes near it. Exploits a fresh corpse. 		10 Tango-energy.png 	1 Tango-activation-darker.png 	5 Tango-recharge-darker.png 	Tango-quest-icon.png	Death Magic	Core
Putrid Flesh.jpg 	Putrid Flesh 	Spell. Destroys one of your undead servants. Inflicts Diseased condition (5...13...15 seconds) to foes near this servant. 		10 Tango-energy.png 	¼ Tango-activation-darker.png 			Death Magic	Nightfall
Ravenous Gaze.jpg 	Ravenous Gaze 	Elite Spell. Deals 15...27...30 damage and steals 15...27...30 Health from target and nearby foes. 	8% Tango-sacrifice.png 	1 Tango-energy.png 	1 Tango-activation-darker.png 	10 Tango-recharge-darker.png 		Blood Magic	Nightfall
Reaper's Mark.jpg 	Reaper's Mark 	Elite Hex Spell. (30 seconds.) Causes -1...4...5 Health degeneration. You gain 5...13...15 Energy if target foe dies while suffering from this hex. 		5 Tango-energy.png 	1 Tango-activation-darker.png 	15 Tango-recharge-darker.png 		Soul Reaping	Nightfall
Reckless Haste.jpg 	Reckless Haste 	Hex Spell. Also hexes foes adjacent to your target (6...11...12 seconds). These foes have 50% chance to miss, but attack 25% faster. 		15 Tango-energy.png 	1 Tango-activation-darker.png 	12 Tango-recharge-darker.png 		Curses	Factions
Rend Enchantments.jpg 	Rend Enchantments 	Spell. Removes 5...8...9 enchantments from target foe. Removal cost: you lose 55...31...25 Health for each Monk enchantment removed. 		5 Tango-energy.png 	2 Tango-activation-darker.png 	20 Tango-recharge-darker.png 	Tango-quest-icon.png	Curses	Core
Rigor Mortis.jpg 	Rigor Mortis 	Hex Spell. (8...18...20 seconds.) Target foe cannot block. 		10 Tango-energy.png 	1 Tango-activation-darker.png 	20 Tango-recharge-darker.png 		Curses	Core
Rip Enchantment.jpg 	Rip Enchantment 	Spell. Removes 1 enchantment. Removal effect: inflicts Bleeding (5...21...25 seconds). 		5 Tango-energy.png 	1 Tango-activation-darker.png 	15 Tango-recharge-darker.png 		Curses	Nightfall
Rising Bile.jpg 	Rising Bile 	Hex Spell. (20 seconds.) End effect: deals 1...5...6 damage for each second Rising Bile was in effect. Also damages other foes in the area. 		10 Tango-energy.png 	1 Tango-activation-darker.png 	20 Tango-recharge-darker.png 		Death Magic	Factions
Rotting Flesh.jpg 	Rotting Flesh 	Spell. Inflicts Diseased condition (10...22...25 seconds). 		15 Tango-energy.png 	3 Tango-activation-darker.png 	3 Tango-recharge-darker.png 	Tango-quest-icon.png	Death Magic	Core
Shadow Strike.jpg 	Shadow Strike 	Spell. Deals 12...41...48 damage. Steal up to 12...41...48 Health if this foe was above 50% Health. 		10 Tango-energy.png 	2 Tango-activation-darker.png 	15 Tango-recharge-darker.png 	Tango-quest-icon.png	Blood Magic	Prophecies
Shadow of Fear.jpg 	Shadow of Fear 	Hex Spell. Also hexes foes adjacent to target (5...25...30 seconds). They attack 50% slower. 		10 Tango-energy.png 	2 Tango-activation-darker.png 	5 Tango-recharge-darker.png 	Tango-quest-icon.png	Curses	Prophecies
Shivers of Dread.jpg 	Shivers of Dread 	Hex Spell. (10...34...40 seconds.) Cold damage interrupts target foe's skills. Interruption cost: you lose 10...6...5 Energy or this hex ends. 		10 Tango-energy.png 	2 Tango-activation-darker.png 	15 Tango-recharge-darker.png 		Curses	Factions
Signet of Agony.jpg 	Signet of Agony 	Signet. Deals 10...58...70 damage to foes near you. You begin Bleeding (25 seconds). 	10% Tango-sacrifice.png 		¾ Tango-activation-darker.png 	8 Tango-recharge-darker.png 	Tango-quest-icon.png	Blood Magic	Core
Signet of Agony (PvP).jpg 	Signet of Agony (PvP) 	Signet. Deals 10...58...70 damage to foes near you. You begin Bleeding (25 seconds). 	10% Tango-sacrifice.png 		¾ Tango-activation-darker.png 	20 Tango-recharge-darker.png 		Blood Magic	Core
Signet of Corruption.jpg 	Signet of Corruption 	Signet. Deals 20...30 damage to target and nearby foes. You gain 2 Energy (maximum 12...20) for each of these foes with a condition or hex. 			1 Tango-activation-darker.png 	20 Tango-recharge-darker.png 		Allegiance rank	Factions
