Aegis.jpg 	Aegis 	Enchantment Spell. Enchants all party members within earshot (5...10...11 seconds). 50% chance to block. 		10 Tango-energy.png 	2 Tango-activation-darker.png 	30 Tango-recharge-darker.png 		Protection Prayers	Core
Healing Ribbon.jpg 	Healing Ribbon 	Spell. Heals for 20...92...110. Heals two additional allies near target ally for 10...82...100. Cannot self-target. 		10 Tango-energy.png 	1 Tango-activation-darker.png 	5 Tango-recharge-darker.png 		Healing Prayers	Eye of the North
Healing Ring.jpg 	Healing Ring 	Spell. Heals adjacent allies and foes for 30...150...180. The caster is not healed. 		5 Tango-energy.png 	1 Tango-activation-darker.png 	10 Tango-recharge-darker.png 		Healing Prayers	Nightfall
Healing Seed.jpg 	Healing Seed 	Enchantment Spell. (10 seconds.) Target and adjacent allies gain 3...25...30 Health whenever this ally takes damage. Cannot self-target. 		10 Tango-energy.png 	2 Tango-activation-darker.png 	25 Tango-recharge-darker.png 	Tango-quest-icon.png	Healing Prayers	Core
Healing Touch.jpg 	Healing Touch 	Touch spell. Heals for 16...51...60. Double Health gain from Divine Favor for this spell. 		5 Tango-energy.png 	¾ Tango-activation-darker.png 	5 Tango-recharge-darker.png 	Tango-quest-icon.png	Healing Prayers	Core
Healing Whisper.jpg 	Healing Whisper 	Half Range Spell. Heals for 40...88...100. Cannot self-target. 		5 Tango-energy.png 	1 Tango-activation-darker.png 	1 Tango-recharge-darker.png 		Healing Prayers	Factions
Heaven's Delight.jpg 	Heaven's Delight 	Spell. Heals you and party members within earshot for 15...51...60 points. 		5 Tango-energy.png 	1 Tango-activation-darker.png 	12 Tango-recharge-darker.png 		Divine Favor	Factions
Holy Haste.jpg 	Holy Haste 	Enchantment Spell. (1...48...60 second[s].) Your Healing Prayers spells cast 50% faster. Ends if you cast an enchantment. 		10 Tango-energy.png 	1 Tango-activation-darker.png 	10 Tango-recharge-darker.png 		Divine Favor	Nightfall
Holy Strike.jpg 	Holy Strike 	Touch Skill. Deals 10...46...55 holy damage. Deals 10...46...55 more holy damage if target is knocked down. 		5 Tango-energy.png 	¾ Tango-activation-darker.png 	8 Tango-recharge-darker.png 		Smiting Prayers	Prophecies
Holy Veil.jpg 	Holy Veil 	Enchantment Spell. Doubles casting time of hexes cast on target ally. End effect: removes a hex. 	-1 Tango-upkeep.png 	5 Tango-energy.png 	1 Tango-activation-darker.png 	12 Tango-recharge-darker.png 	Tango-quest-icon.png		Core
Holy Wrath.jpg 	Holy Wrath 	Enchantment Spell. (10...26...30 seconds). Deals 66% of each attack's damage (maximum 5...41...50) back to source. Ends after dealing damage 1...8...10 time[s]. Cannot self-target. 		10 Tango-energy.png 	1 Tango-activation-darker.png 	10 Tango-recharge-darker.png 		Smiting Prayers	Prophecies
Infuse Health.jpg 	Infuse Health 	Spell. Heals for 100...129...136% of half your current Health. Lose half your current Health. Cannot self-target. 		10 Tango-energy.png 	¼ Tango-activation-darker.png 		Tango-quest-icon.png	Healing Prayers	Core
Jamei's Gaze.jpg 	Jamei's Gaze 	Spell. Heals for 35...151...180. Cannot self-target. 		10 Tango-energy.png 	¾ Tango-activation-darker.png 	3 Tango-recharge-darker.png 		Healing Prayers	Factions
Judge's Insight.jpg 	Judge's Insight 	Enchantment Spell. (8...18...20 seconds.) Converts target ally's attacks to holy damage and adds +20% armor penetration. 		10 Tango-energy.png 	2 Tango-activation-darker.png 	10 Tango-recharge-darker.png 		Smiting Prayers	Core
Judge's Intervention.jpg 	Judge's Intervention 	Enchantment Spell. (10 seconds.) Negates the next fatal damage. Negation effect: deals 30...150...180 holy damage to one foe near target ally. 		5 Tango-energy.png 	¼ Tango-activation-darker.png 	8 Tango-recharge-darker.png 		Smiting Prayers	Nightfall
Judgment Strike.jpg 	Judgment Strike 	Elite Melee Attack. Attacks target and adjacent foes for +13...27...30 Holy damage. Causes knock down on attacking foes. PvE Skill 		5 Tango-energy.png 	1 Tango-activation-darker.png 	8 Tango-recharge-darker.png 		Divine Favor	Core
Karei's Healing Circle.jpg 	Karei's Healing Circle 	Spell. Heals you for 30...150...180. Also heals adjacent creatures. 		10 Tango-energy.png 	1 Tango-activation-darker.png 	5 Tango-recharge-darker.png 		Healing Prayers	Factions
Kirin's Wrath.jpg 	Kirin's Wrath 	Spell. Deals 8...27...32 holy damage each second (5 seconds). Hits foes adjacent to your initial location. 		5 Tango-energy.png 	2 Tango-activation-darker.png 	30 Tango-recharge-darker.png 		Smiting Prayers	Factions
Life Attunement.jpg 	Life Attunement 	Enchantment Spell. Target ally gains 14...43...50% more Health when healed. This ally deals 30% less damage with attacks. 	-1 Tango-upkeep.png 	10 Tango-energy.png 	2 Tango-activation-darker.png 		Tango-quest-icon.png	Protection Prayers	Prophecies
Life Barrier.jpg 	Life Barrier 	Elite Enchantment Spell. Reduces damage by 20...44...50%. Cannot self-target. If your Health is below 50% when target takes damage, Life Barrier ends. 	-1 Tango-upkeep.png 	15 Tango-energy.png 	2 Tango-activation-darker.png 	5 Tango-recharge-darker.png 		Protection Prayers	Prophecies
Life Bond.jpg 	Life Bond 	Enchantment Spell. Half of the damage target ally takes from attacks is redirected to you. Redirected damage is reduced by 3...25...30. Cannot self-target. 	-1 Tango-upkeep.png 	10 Tango-energy.png 	2 Tango-activation-darker.png 			Protection Prayers	Core
Life Sheath.jpg 	Life Sheath 	Elite Enchantment Spell. (8 seconds.) Converts the next incoming damage or life steal (maximum 20...84...100) to healing. Initial effect: Removes 0...2...2 condition[s]. 		5 Tango-energy.png 	¼ Tango-activation-darker.png 	2 Tango-recharge-darker.png 		Protection Prayers	Factions
Light of Deliverance.jpg 	Light of Deliverance 	Elite Spell. Heals entire party for 5...57...70. 		5 Tango-energy.png 	1 Tango-activation-darker.png 	6 Tango-recharge-darker.png 		Healing Prayers	Nightfall
Light of Deliverance (PvP).jpg 	Light of Deliverance (PvP) 	Elite Spell. Heals entire party for 5...57...70. Disables your Smiting Prayers (20 seconds). 		5 Tango-energy.png 	1 Tango-activation-darker.png 	10 Tango-recharge-darker.png 		Healing Prayers	Nightfall
Light of Dwayna.jpg 	Light of Dwayna 	Spell. Resurrects all dead party members in the area. (25% Health, zero Energy). 		25 Tango-energy.png 	4 Tango-activation-darker.png 	20 Tango-recharge-darker.png 			Prophecies
Live Vicariously.jpg 	Live Vicariously 	Enchantment Spell. You gain 2...14...17 Health whenever target ally hits a foe. 	-1 Tango-upkeep.png 	5 Tango-energy.png 	2 Tango-activation-darker.png 		Tango-quest-icon.png	Healing Prayers	Prophecies
Mark of Protection.jpg 	Mark of Protection 	Elite Enchantment Spell. (10 seconds.) Converts incoming damage to healing (maximum 6...49...60). All your Protection Prayers are disabled (5 seconds). 		10 Tango-energy.png 	1 Tango-activation-darker.png 	45 Tango-recharge-darker.png 		Protection Prayers	Prophecies
Martyr.jpg 	Martyr 	Elite Spell. Transfer all conditions from all allies to you. 		5 Tango-energy.png 	1 Tango-activation-darker.png 	10 Tango-recharge-darker.png 			Core
Mend Ailment.jpg 	Mend Ailment 	Spell. Removes a condition. Removal effect: heals for 5...57...70 for each remaining condition. 		5 Tango-energy.png 	¾ Tango-activation-darker.png 	5 Tango-recharge-darker.png 	Tango-quest-icon.png	Protection Prayers	Core
Mend Condition.jpg 	Mend Condition 	Spell. Removes one condition. Removal effect: heals for 5...57...70. Cannot self-target. 		5 Tango-energy.png 	¾ Tango-activation-darker.png 	2 Tango-recharge-darker.png 	Tango-quest-icon.png	Protection Prayers	Prophecies
Mending.jpg 	Mending 	Enchantment Spell. +1...3...4 Health regeneration. 	-1 Tango-upkeep.png 	10 Tango-energy.png 	2 Tango-activation-darker.png 		Tango-quest-icon.png	Healing Prayers	Core
Mending Touch.jpg 	Mending Touch 	Touch Spell. Removes two conditions. Heals for 15...51...60 for each condition removed. 		5 Tango-energy.png 	¾ Tango-activation-darker.png 	6 Tango-recharge-darker.png 		Protection Prayers	Nightfall
Orison of Healing.jpg 	Orison of Healing 	Spell. Heals for 20...60...70. 		5 Tango-energy.png 	1 Tango-activation-darker.png 	2 Tango-recharge-darker.png 	Tango-quest-icon.png	Healing Prayers	Core
Pacifism.jpg 	Pacifism 	Hex Spell. (8...18...20 seconds.) Target foe cannot attack. Ends if this foe takes damage. 		10 Tango-energy.png 	2 Tango-activation-darker.png 	30 Tango-recharge-darker.png 	Tango-quest-icon.png	Protection Prayers	Prophecies
Patient Spirit.jpg 	Patient Spirit 	Enchantment Spell. (2 seconds.) End effect: heals for 30...102...120. No effect if ends early. 		5 Tango-energy.png 	¼ Tango-activation-darker.png 	4 Tango-recharge-darker.png 		Healing Prayers	Eye of the North
Peace and Harmony.jpg 	Peace and Harmony 	Elite Enchantment Spell. Target ally loses 0...7...9 condition[s] and hex[es]. Conditions and hexes expire 90% faster on that ally (1...3...3 second[s]). Disables your Smiting Prayers (20 seconds). 		5 Tango-energy.png 	¼ Tango-activation-darker.png 	10 Tango-recharge-darker.png 		Divine Favor	Prophecies
Pensive Guardian.jpg 	Pensive Guardian 	Enchantment Spell. (5...10...11 seconds.) 50% chance to block enchanted foes. 		5 Tango-energy.png 	1 Tango-activation-darker.png 	5 Tango-recharge-darker.png 		Protection Prayers	Nightfall
Protective Bond.jpg 	Protective Bond 	Enchantment Spell. Target ally cannot lose more than 5% max Health from a single attack or spell. Each time damage is reduced you lose 6...4...3 Energy or this spell ends. 	-1 Tango-upkeep.png 	10 Tango-energy.png 	2 Tango-activation-darker.png 			Protection Prayers	Prophecies
Protective Spirit.jpg 	Protective Spirit 	Enchantment Spell. (5...19...23 seconds.) Incoming damage is reduced to 10% of target ally's maximum Health. 		10 Tango-energy.png 	¼ Tango-activation-darker.png 	5 Tango-recharge-darker.png 	Tango-quest-icon.png	Protection Prayers	Core
Purge Conditions.jpg 	Purge Conditions 	Spell. Removes all conditions. 		5 Tango-energy.png 	¼ Tango-activation-darker.png 	20 Tango-recharge-darker.png 	Tango-quest-icon.png		Core
Purge Signet.jpg 	Purge Signet 	Signet. Removes all hexes and conditions. Removal cost: 10 Energy each. 			2 Tango-activation-darker.png 	20 Tango-recharge-darker.png 			Core
Purifying Veil.jpg 	Purifying Veil 	Enchantment Spell. Conditions expire 5...41...50% faster on target ally. End effect: removes a condition. 	-1 Tango-upkeep.png 	5 Tango-energy.png 	1 Tango-activation-darker.png 	6 Tango-recharge-darker.png 		Protection Prayers	Eye of the North
Ray of Judgment.jpg 	Ray of Judgment 	Elite Spell. Deals 5...37...45 holy damage and inflicts Burning (1...3...3 second[s]) every second (5 seconds). Hits foes adjacent to target's initial location. 		10 Tango-energy.png 	2 Tango-activation-darker.png 	20 Tango-recharge-darker.png 		Smiting Prayers	Factions
Rebirth.jpg 	Rebirth 	Spell. Resurrects target party member (25% Health, 0 Energy). Teleports target to you. Disables target's skills (10...4...3 seconds). You lose all Energy. 		10 Tango-energy.png 	5 Tango-activation-darker.png 		Tango-quest-icon.png	Protection Prayers	Core
Release Enchantments.jpg 	Release Enchantments 	Spell. Removes all of your enchantments. Heals all party members for 5...29...35 for each Monk Enchantment removed. 		5 Tango-energy.png 	1 Tango-activation-darker.png 	5 Tango-recharge-darker.png 		Divine Favor	Factions
Remove Hex.jpg 	Remove Hex 	Spell. Removes a hex from target ally. 		5 Tango-energy.png 	1 Tango-activation-darker.png 	8 Tango-recharge-darker.png 	Tango-quest-icon.png		Core
Renew Life.jpg 	Renew Life 	Touch Spell. Resurrects target party member (50% Health and 5...17...20% Energy). Heals allies within earshot for 55...115...130. 		15 Tango-energy.png 	4 Tango-activation-darker.png 	5 Tango-recharge-darker.png 		Healing Prayers	Nightfall
Restful Breeze.jpg 	Restful Breeze 	Enchantment Spell. (8...16...18 seconds.) +10 Health regeneration. Ends if target ally attacks or uses a skill. 		5 Tango-energy.png 	1 Tango-activation-darker.png 	8 Tango-recharge-darker.png 		Healing Prayers	Nightfall
Restore Condition.jpg 	Restore Condition 	Elite Spell. Removes all conditions. Removal effect: heals for 10...58...70 for each condition removed. Cannot self-target. 		5 Tango-energy.png 	¾ Tango-activation-darker.png 	2 Tango-recharge-darker.png 		Protection Prayers	Prophecies
Restore Life.jpg 	Restore Life 	Touch Spell. Resurrects target party member (20...56...65% Health, 42...80...90% Energy). 		10 Tango-energy.png 	4 Tango-activation-darker.png 	8 Tango-recharge-darker.png 		Healing Prayers	Prophecies
Resurrect.jpg 	Resurrect 	Spell. Resurrects target party member (25% Health, 0 Energy). 		10 Tango-energy.png 	5 Tango-activation-darker.png 	8 Tango-recharge-darker.png 	Tango-quest-icon.png		Core
Resurrection Chant.jpg 	Resurrection Chant 	Half Range Spell. Resurrects target party member at your current Health and with 5...29...35% Energy. 		10 Tango-energy.png 	6 Tango-activation-darker.png 	15 Tango-recharge-darker.png 		Healing Prayers	Factions
Retribution.jpg 	Retribution 	Enchantment Spell. Deals 33% of each attack's damage (maximum 5...17...20) back to the source. 	-1 Tango-upkeep.png 	10 Tango-energy.png 	2 Tango-activation-darker.png 		Tango-quest-icon.png	Smiting Prayers	Core
Reversal of Damage.jpg 	Reversal of Damage 	Enchantment Spell. (8 seconds.) Negates the next damage and hits the source for that same amount (maximum 5...61...75). 		5 Tango-energy.png 	¼ Tango-activation-darker.png 	3 Tango-recharge-darker.png 		Smiting Prayers	Nightfall
Reversal of Fortune.jpg 	Reversal of Fortune 	Enchantment Spell. (8 seconds.) Converts the next incoming damage or life steal (maximum 15...67...80) to healing. 		5 Tango-energy.png 	¼ Tango-activation-darker.png 	2 Tango-recharge-darker.png 	Tango-quest-icon.png	Protection Prayers	Core
Reverse Hex.jpg 	Reverse Hex 	Enchantment Spell. (5...9...10 seconds.) Removes one hex from target ally. The next damage this ally takes is reduced by 5...41...50. No effect unless this ally is hexed. 		10 Tango-energy.png 	¼ Tango-activation-darker.png 	10 Tango-recharge-darker.png 		Protection Prayers	Factions
Scourge Enchantment.jpg 	Scourge Enchantment 	Hex Spell. (30 seconds.) Deals 15...63...75 damage to anyone casting an enchantment on target foe. 		10 Tango-energy.png 	2 Tango-activation-darker.png 	5 Tango-recharge-darker.png 		Smiting Prayers	Nightfall
Scourge Healing.jpg 	Scourge Healing 	Hex Spell. (30 seconds.) Whenever target foe is healed, the healer takes 15...67...80 holy damage. 		10 Tango-energy.png 	2 Tango-activation-darker.png 	5 Tango-recharge-darker.png 	Tango-quest-icon.png	Smiting Prayers	Core
Scourge Sacrifice.jpg 	Scourge Sacrifice 	Hex Spell. Also hexes foes adjacent to target (8...18...20 seconds). Doubles Health sacrifice. 		10 Tango-energy.png 	1 Tango-activation-darker.png 	5 Tango-recharge-darker.png 		Smiting Prayers	Prophecies
Scribe's Insight.jpg 	Scribe's Insight 	Elite Enchantment Spell. (10...30...35 seconds.) You gain 3 Energy whenever you use a signet. 		5 Tango-energy.png 	¼ Tango-activation-darker.png 	20 Tango-recharge-darker.png 		Divine Favor	Nightfall
Seed of Life.jpg 	Seed of Life 	Enchantment Spell. (2...5) seconds. Heals party members for 2 for each rank in Divine Favor whenever target takes damage. Cannot self target. 		5 Tango-energy.png 	¼ Tango-activation-darker.png 	20 Tango-recharge-darker.png 		Sunspear rank	Nightfall
Selfless Spirit.jpg 	Selfless Spirit 	Enchantment Spell. (15...20 seconds.) Spells you cast that target another ally cost 3 less Energy. 		5 Tango-energy.png 	¼ Tango-activation-darker.png 	45 Tango-recharge-darker.png 		Allegiance rank	Factions
Shield Guardian.jpg 	Shield Guardian 	Enchantment Spell. (1...3...4 second[s]). Party members in earshot have a 75% chance to block attacks. Block effect: Allies in earshot are healed for 10...34...40, and Shield Guardian ends. 		5 Tango-energy.png 	1½ Tango-activation-darker.png 	20 Tango-recharge-darker.png 		Protection Prayers	Factions
Shield of Absorption.jpg 	Shield of Absorption 	Enchantment Spell. (3...6...7 seconds.) Reduces incoming damage by 5 each time target ally takes damage. 		5 Tango-energy.png 	1 Tango-activation-darker.png 	10 Tango-recharge-darker.png 		Protection Prayers	Nightfall
Shield of Deflection.jpg 	Shield of Deflection 	Elite Enchantment Spell. (3...9...10 seconds.) 75% chance to block. +15...27...30 armor. 		10 Tango-energy.png 	¼ Tango-activation-darker.png 	10 Tango-recharge-darker.png 		Protection Prayers	Prophecies
