Aftershock.jpg 	Aftershock 	Spell. Deals 26...85...100 earth damage to nearby foes. Deals 10...56...68 more earth damage to knocked down foes. 		10 Tango-energy.png 	¾ Tango-activation-darker.png 	10 Tango-recharge-darker.png 		Earth Magic	Core
Breath of Fire.jpg 	Breath of Fire 	Spell. Deals 10...34...40 fire damage each second (5 seconds). Hits foes adjacent to target's initial location. 	10 Tango-overcast.png 	5 Tango-energy.png 	2 Tango-activation-darker.png 	10 Tango-recharge-darker.png 		Fire Magic	Factions
Burning Speed.jpg 	Burning Speed 	Enchantment Spell. (7 seconds.) You move 30...42...45% faster. You suffer from Burning (7 seconds). End effect: inflicts Burning condition (3...8...9 seconds) on adjacent foes. 		10 Tango-energy.png 	¼ Tango-activation-darker.png 			Fire Magic	Factions
Chain Lightning.jpg 	Chain Lightning 	Spell. Deals 10...70...85 lightning damage. Also hits two foes near your target. 25% armor penetration. 	5 Tango-overcast.png 	10 Tango-energy.png 	2 Tango-activation-darker.png 	6 Tango-recharge-darker.png 		Air Magic	Prophecies
Chilling Winds.jpg 	Chilling Winds 	Hex Spell. (10 seconds.) The next water hex on target foe lasts 25...85...100% longer. Initial effect: 30...54...60 cold damage. Also strikes adjacent. 		5 Tango-energy.png 	1 Tango-activation-darker.png 	8 Tango-recharge-darker.png 		Air Magic	Nightfall
Churning Earth.jpg 	Churning Earth 	Spell. Deals 10...34...40 earth damage each second (5 seconds). Hits foes near target's initial location. Causes knock-down to foes moving faster than normal. 		15 Tango-energy.png 	2 Tango-activation-darker.png 	30 Tango-recharge-darker.png 		Earth Magic	Factions
Conjure Flame.jpg 	Conjure Flame 	Enchantment Spell. (60 seconds.) Your attacks hit for +5...17...20 fire damage. No effect unless your weapon deals fire damage. 		10 Tango-energy.png 	1 Tango-activation-darker.png 	45 Tango-recharge-darker.png 		Fire Magic	Core
Conjure Frost.jpg 	Conjure Frost 	Enchantment Spell. (60 seconds.) Your attacks hit for +5...17...20 cold damage. No effect unless your weapon deals cold damage. 		10 Tango-energy.png 	1 Tango-activation-darker.png 	45 Tango-recharge-darker.png 	Tango-quest-icon.png	Water Magic	Core
Conjure Lightning.jpg 	Conjure Lightning 	Enchantment Spell. (60 seconds.) Your attacks hit for +5...17...20 lightning damage. No effect unless your weapon deals lightning damage. 		10 Tango-energy.png 	1 Tango-activation-darker.png 	45 Tango-recharge-darker.png 		Air Magic	Core
Crystal Wave.jpg 	Crystal Wave 	Spell. Deals 10...58...70 damage to all foes adjacent to you. Those foes lose all conditions and take 5...13...15 damage for each condition removed. 		15 Tango-energy.png 	¾ Tango-activation-darker.png 	15 Tango-recharge-darker.png 		Earth Magic	Prophecies
Deep Freeze.jpg 	Deep Freeze 	Hex Spell. Also hexes foes in the area of your target (10 seconds). These foes move 66% slower. Initial effect: deals 10...70...85 cold damage. 		25 Tango-energy.png 	2 Tango-activation-darker.png 	15 Tango-recharge-darker.png 	Tango-quest-icon.png	Water Magic	Core
Double Dragon.jpg 	Double Dragon 	Elite Enchantment Spell. (8 seconds.) Enchants you and target ally. Adjacent foes take 5...25...30 fire damage each second. Skills that target a foe also inflict Burning (0...2...3 second[s]). 		10 Tango-energy.png 	1 Tango-activation-darker.png 	20 Tango-recharge-darker.png 		Fire Magic	Factions
Dragon's Stomp.jpg 	Dragon's Stomp 	Spell. Deals 26...85...100 earth damage. Causes knock-down. Also hits foes near this foe. 	10 Tango-overcast.png 	25 Tango-energy.png 	3 Tango-activation-darker.png 	15 Tango-recharge-darker.png 		Earth Magic	Factions
Earth Attunement.jpg 	Earth Attunement 	Enchantment Spell. (36...55...60 seconds.) You gain 1 Energy plus 30% of the Energy cost when you use an Earth Magic skill. 		10 Tango-energy.png 	1 Tango-activation-darker.png 	30 Tango-recharge-darker.png 	Tango-quest-icon.png	Earth Magic	Core
Earthen Shackles.jpg 	Earthen Shackles 	Hex Spell. (3 seconds.) Target and nearby foes move 90% slower. Applies Weakness for 5...17...20 seconds when it ends. 		10 Tango-energy.png 	1 Tango-activation-darker.png 	15 Tango-recharge-darker.png 		Earth Magic	Eye of the North
Earthquake.jpg 	Earthquake 	Spell. Deals 26...85...100 earth damage. Also hits foes near target. Causes knock-down. 	10 Tango-overcast.png 	25 Tango-energy.png 	3 Tango-activation-darker.png 	15 Tango-recharge-darker.png 	Tango-quest-icon.png	Earth Magic	Prophecies
Ebon Hawk.jpg 	Ebon Hawk 	Spell. Projectile: deals 10...70...85 earth damage and inflicts Weakness condition (5...13...15 seconds). 		10 Tango-energy.png 	1 Tango-activation-darker.png 	5 Tango-recharge-darker.png 		Earth Magic	Nightfall
Elemental Attunement.jpg 	Elemental Attunement 	Elite Enchantment Spell. (25...53...60 seconds.) Your elemental attributes are increased by +1...2...2. You gain 50% of the Energy cost of any Air, Earth, Fire, and Water Magic skills you use. 		10 Tango-energy.png 	1 Tango-activation-darker.png 	20 Tango-recharge-darker.png 		Energy Storage	Core
Elemental Flame.jpg 	Elemental Flame 	Enchantment Spell. (10...30...35 seconds.) Inflicts Burning condition (1...4...5 second[s]) whenever you apply an Elemental hex to a target. 		10 Tango-energy.png 	1 Tango-activation-darker.png 	30 Tango-recharge-darker.png 		Fire Magic	Nightfall
Elemental Flame (PvP).jpg 	Elemental Flame (PvP) 	Enchantment Spell. (5...17...20 seconds.) Inflicts Burning condition (1...2...2 second[s]) whenever you apply an Elemental hex to a target. 		10 Tango-energy.png 	1 Tango-activation-darker.png 	30 Tango-recharge-darker.png 		Fire Magic	Nightfall
Elemental Lord.jpg 	Elemental Lord 	Enchantment Spell. (40...60 seconds.) Your elemental attributes are boosted by 1. Each time you cast a spell, you gain 1 energy for every 10 ranks of Energy Storage and are healed for 100...300% of the spell's Energy cost. 		5 Tango-energy.png 	¼ Tango-activation-darker.png 	45 Tango-recharge-darker.png 		Allegiance rank	Factions
Energy Blast.jpg 	Energy Blast 	Spell. Deals 1...2...2 damage (maximum 130) for each point of Energy you have. 		10 Tango-energy.png 	1½ Tango-activation-darker.png 	20 Tango-recharge-darker.png 		Energy Storage	Eye of the North
Energy Boon.jpg 	Energy Boon 	Elite Enchantment Spell. (36...55...60 seconds.) Maximum Health for you and target ally is increased by 1...3...3 for each point of maximum Energy. Initial effect: Both gain 1...10...12 Energy. You gain +1 Energy for every 2 points of Energy Storage. 		10 Tango-energy.png 	1 Tango-activation-darker.png 	20 Tango-recharge-darker.png 		Energy Storage	Factions
Enervating Charge.jpg 	Enervating Charge 	Spell. Deals 25...45...50 lightning damage. Inflicts Weakness condition (5...17...20 seconds). 25% armor penetration. 		10 Tango-energy.png 	1 Tango-activation-darker.png 	8 Tango-recharge-darker.png 		Air Magic	Core
Eruption.jpg 	Eruption 	Spell. Deals 10...34...40 earth damage each second (5 seconds). Hits foes near target's initial location. Inflicts Blindness condition (10 seconds). 		25 Tango-energy.png 	2 Tango-activation-darker.png 	30 Tango-recharge-darker.png 	Tango-quest-icon.png	Earth Magic	Prophecies
Ether Prism.jpg 	Ether Prism 	Elite Skill. (3 seconds.) All damage you take is reduced by 75%. End effect: gain 5...17...20 Energy. 		5 Tango-energy.png 		25 Tango-recharge-darker.png 		Energy Storage	Nightfall
Ether Prodigy.jpg 	Ether Prodigy 	Elite Enchantment Spell. (8...18...20 seconds.) You have +6 Energy regeneration. End effect: lose 2 Health for each point of Energy you have. Lose all enchantments. 	10 Tango-overcast.png 	5 Tango-energy.png 	1 Tango-activation-darker.png 	5 Tango-recharge-darker.png 		Energy Storage	Prophecies
Ether Renewal.jpg 	Ether Renewal 	Elite Enchantment Spell. (5...17...20 seconds.) Each time you cast a spell, you gain 1...3...4 Energy and 5...17...20 Health for each enchantment on you. 		10 Tango-energy.png 	1 Tango-activation-darker.png 	30 Tango-recharge-darker.png 		Energy Storage	Prophecies
Ether Renewal (PvP).jpg 	Ether Renewal (PvP) 	Elite Enchantment Spell. (7 seconds.) Each time you cast a spell, you gain 1...3...3 Energy and 5...17...20 Health for each enchantment on you. 		10 Tango-energy.png 	1 Tango-activation-darker.png 	30 Tango-recharge-darker.png 		Energy Storage	Prophecies
Fire Attunement.jpg 	Fire Attunement 	Enchantment Spell. (36...55...60 seconds.) You gain 1 Energy plus 30% of the Energy cost when you use a Fire Magic skill. 		10 Tango-energy.png 	1 Tango-activation-darker.png 	30 Tango-recharge-darker.png 	Tango-quest-icon.png	Fire Magic	Core
Fire Storm.jpg 	Fire Storm 	Spell. Deals 5...29...35 fire damage each second (10 seconds). Hits foes adjacent to target's initial location. 		10 Tango-energy.png 	2 Tango-activation-darker.png 	20 Tango-recharge-darker.png 	Tango-quest-icon.png	Fire Magic	Core
Fireball.jpg 	Fireball 	Spell. Projectile: deals 7...91...112 fire damage to target and adjacent foes. 		10 Tango-energy.png 	1½ Tango-activation-darker.png 	7 Tango-recharge-darker.png 	Tango-quest-icon.png	Fire Magic	Core
Flame Burst.jpg 	Flame Burst 	Spell. Deals 15...99...120 fire damage to all foes near you. 		15 Tango-energy.png 	¾ Tango-activation-darker.png 	5 Tango-recharge-darker.png 	Tango-quest-icon.png	Fire Magic	Prophecies
Flame Djinn's Haste.jpg 	Flame Djinn's Haste 	Enchantment Spell. (8...13...14 seconds.) You move 25% faster. Initial effect: deals 15...99...120 fire damage to foes adjacent to you. If you damage a foe with this spell, it recharges 50% faster. 		10 Tango-energy.png 	¾ Tango-activation-darker.png 	20 Tango-recharge-darker.png 		Fire Magic	Nightfall
Flare.jpg 	Flare 	Spell. Projectile: deals 20...56...65 fire damage. If Overcast, strikes adjacent. 		5 Tango-energy.png 	1 Tango-activation-darker.png 		Tango-quest-icon.png	Fire Magic	Core
Freezing Gust.jpg 	Freezing Gust 	Hex Spell. Deals 20...68...80 cold damage if target foe is hexed with Water Magic. Otherwise, this foe moves 66% slower (1...4...5 second[s]). 		10 Tango-energy.png 	1 Tango-activation-darker.png 	8 Tango-recharge-darker.png 		Water Magic	Nightfall
Frigid Armor.jpg 	Frigid Armor 	Enchantment Spell. (10...22...25 seconds.) You have +10...34...40 armor against physical damage and immunity to Burning. 		5 Tango-energy.png 	1 Tango-activation-darker.png 	20 Tango-recharge-darker.png 		Water Magic	Nightfall
Frozen Burst.jpg 	Frozen Burst 	Hex Spell. Hexes foes near you. These foes move 66% slower (3...7...8 seconds). Initial effect: deals 10...70...85 cold damage to foes near you. 		15 Tango-energy.png 	¾ Tango-activation-darker.png 	8 Tango-recharge-darker.png 	Tango-quest-icon.png	Water Magic	Prophecies
Gale.jpg 	Gale 	Spell. Causes knock-down. 50% failure chance unless Air Magic 5 or more. 	10 Tango-overcast.png 	10 Tango-energy.png 	1 Tango-activation-darker.png 	5 Tango-recharge-darker.png 	Tango-quest-icon.png	Air Magic	Core
Glimmering Mark.jpg 	Glimmering Mark 	Elite Hex Spell. (10 seconds.) Deals 5...21...25 damage each second to target and adjacent foes. Inflicts Blindness [sic] on foes using attack skills. Ends if you use a skill that targets this foe. 		10 Tango-energy.png 	1 Tango-activation-darker.png 	15 Tango-recharge-darker.png 		Air Magic	Prophecies
Glowing Gaze.jpg 	Glowing Gaze 	Spell. Deals 5...41...50 fire damage. You gain 5 Energy plus 1 Energy for every 2 ranks of Energy Storage if target foe is Burning. 		5 Tango-energy.png 	1 Tango-activation-darker.png 	8 Tango-recharge-darker.png 		Fire Magic	Nightfall
Glowing Ice.jpg 	Glowing Ice 	Spell. Deals 5...41...50 cold damage. You gain 5 Energy plus 1 Energy for every 2 ranks of Energy Storage if target foe is hexed with Water Magic. 		5 Tango-energy.png 	1 Tango-activation-darker.png 	8 Tango-recharge-darker.png 		Water Magic	Eye of the North
Glowstone.jpg 	Glowstone 	Spell. Projectile: deals 5...41...50 earth damage. You gain 5 Energy plus 1 Energy for every 2 ranks of Energy Storage if target foe is Weakened. 		5 Tango-energy.png 	¾ Tango-activation-darker.png 	7 Tango-recharge-darker.png 		Earth Magic	Nightfall
Glyph of Concentration.jpg 	Glyph of Concentration 	Glyph. (15 seconds.) Your next 1 spell cannot be interrupted and is unaffected by the Dazed condition. 		5 Tango-energy.png 	1 Tango-activation-darker.png 	10 Tango-recharge-darker.png 			Prophecies
Glyph of Elemental Power.jpg 	Glyph of Elemental Power 	Glyph. (25 seconds.) Boosts your elemental attributes by +2 for your next 10 spells. 		5 Tango-energy.png 	1 Tango-activation-darker.png 	5 Tango-recharge-darker.png 	Tango-quest-icon.png		Core
Glyph of Energy.jpg 	Glyph of Energy 	Elite Glyph. Your next 1...3...3 spell[s] do[es] not cause Overcast and cost[s] 10...22...25 less Energy. Gain 1...2...2 to all elemental attributes. 		5 Tango-energy.png 	1 Tango-activation-darker.png 	25 Tango-recharge-darker.png 		Energy Storage	Prophecies
Glyph of Essence.jpg 	Glyph of Essence 	Glyph. (15 seconds.) Your next spell casts instantly. You lose all Energy. 		5 Tango-energy.png 	1 Tango-activation-darker.png 	20 Tango-recharge-darker.png 			Factions
Glyph of Immolation.jpg 	Glyph of Immolation 	Glyph. (15 seconds.) Your next 1...3...4 spell[s] that target[s] a foe also inflict[s] Burning condition (1...3...4 second[s]). 		5 Tango-energy.png 	1 Tango-activation-darker.png 	10 Tango-recharge-darker.png 		Fire Magic	Eye of the North
Glyph of Lesser Energy.jpg 	Glyph of Lesser Energy 	Glyph. (15 seconds.) Your next 2 spells cost 10...16...18 less Energy. 		5 Tango-energy.png 	1 Tango-activation-darker.png 	30 Tango-recharge-darker.png 	Tango-quest-icon.png	Energy Storage	Core
Glyph of Renewal.jpg 	Glyph of Renewal 	Elite Glyph. (15 seconds.) Your next spell recharges instantly. 		5 Tango-energy.png 	1 Tango-activation-darker.png 	10 Tango-recharge-darker.png 			Prophecies
Glyph of Restoration.jpg 	Glyph of Restoration 	Glyph. (15 seconds.) Your next 2 spells heal you for 30...90...105, and you are healed for 150...350...400% of the Energy cost of each spell. 		5 Tango-energy.png 	1 Tango-activation-darker.png 	8 Tango-recharge-darker.png 		Energy Storage	Nightfall
Glyph of Sacrifice.jpg 	Glyph of Sacrifice 	Glyph. (15 seconds.) Your next spell casts instantly but takes an additional 30 seconds to recharge. Ends if you use a non-spell skill. 		5 Tango-energy.png 	1 Tango-activation-darker.png 	15 Tango-recharge-darker.png 			Prophecies
Glyph of Swiftness.jpg 	Glyph of Swiftness 	Glyph. (15 seconds.) Your next 1...4...5 spell[s] recharge 25% faster and projectiles from them move 200% faster. 		5 Tango-energy.png 	1 Tango-activation-darker.png 	10 Tango-recharge-darker.png 		Air Magic	Eye of the North
Grasping Earth.jpg 	Grasping Earth 	Hex Spell. Hexes foes near you for (5...17...20 seconds). These foes move 50% slower. 		10 Tango-energy.png 	¾ Tango-activation-darker.png 	12 Tango-recharge-darker.png 	Tango-quest-icon.png	Earth Magic	Prophecies
Gust.jpg 	Gust 	Elite Enchantment Spell. (5...10...11 seconds.) You and target ally move 33% faster. Initial effect: Foes near you and target ally are struck for 15...59...70 cold damage. Attacking or moving foes are knocked down. 		10 Tango-energy.png 	¾ Tango-activation-darker.png 	10 Tango-recharge-darker.png 		Air Magic	Factions
Ice Prison.jpg 	Ice Prison 	Hex Spell. (8...18...20 seconds.) Target foe moves 66% slower. 		10 Tango-energy.png 	2 Tango-activation-darker.png 	30 Tango-recharge-darker.png 	Tango-quest-icon.png	Water Magic	Prophecies
Ice Spear.jpg 	Ice Spear 	Enchantment Spell. Projectile: deals 10...50...60 cold damage. Gain +1...3...4 Health regeneration for 5 seconds if Overcast. 		5 Tango-energy.png 	1 Tango-activation-darker.png 		Tango-quest-icon.png	Water Magic	Core
Ice Spikes.jpg 	Ice Spikes 	Hex Spell. Also hexes foes adjacent to target (2...5...6 seconds). These foes move 66% slower. Initial effect: deals 20...68...80 cold damage. 		15 Tango-energy.png 	1½ Tango-activation-darker.png 	10 Tango-recharge-darker.png 	Tango-quest-icon.png	Water Magic	Core
Icy Prism.jpg 	Icy Prism 	Spell. Deals 15...63...75 cold damage. Deals +[sic]15...63...75 cold damage to other nearby foes if target has a Water Magic hex. 	5 Tango-overcast.png 	10 Tango-energy.png 	1 Tango-activation-darker.png 	5 Tango-recharge-darker.png 		Water Magic	Factions
Icy Shackles.jpg 	Icy Shackles 	Elite Hex Spell. (1...8...10 second[s].) Target foe moves 66% slower. This foe moves 90% slower if enchanted. 		10 Tango-energy.png 	1 Tango-activation-darker.png 	12 Tango-recharge-darker.png 		Water Magic	Nightfall
Immolate.jpg 	Immolate 	Spell. Deals 20...64...75 fire damage. Inflicts Burning condition (1...3...3 second[s]). 		10 Tango-energy.png 	1 Tango-activation-darker.png 	5 Tango-recharge-darker.png 		Fire Magic	Core
Incendiary Bonds.jpg 	Incendiary Bonds 	Hex Spell. (3 seconds.) End effect: deals 20...68...80 fire damage and inflicts Burning condition (1...3...3 second[s]) to foes near your target. Also triggers if foe dies. 	5 Tango-overcast.png 	10 Tango-energy.png 	1 Tango-activation-darker.png 	7 Tango-recharge-darker.png 	Tango-quest-icon.png	Fire Magic	Prophecies
Inferno.jpg 	Inferno 	Spell. Deals 30...114...135 fire damage to foes adjacent to you. 		10 Tango-energy.png 	¾ Tango-activation-darker.png 	10 Tango-recharge-darker.png 	Tango-quest-icon.png	Fire Magic	Core
Intensity.jpg 	Intensity 	Skill. (10 seconds.) The next time you deal elemental damage with a spell, other targets in the area take 60...70% of that damage. 		5 Tango-energy.png 		10 Tango-recharge-darker.png 		Sunspear rank	Nightfall
Invoke Lightning.jpg 	Invoke Lightning 	Elite Spell. Deals 10...74...90 lightning damage. Hits two foes near target. 25% armor penetration. 	5 Tango-overcast.png 	10 Tango-energy.png 	1 Tango-activation-darker.png 	6 Tango-recharge-darker.png 		Air Magic	Nightfall
Iron Mist.jpg 	Iron Mist 	Enchantment Spell. (8...14...15 seconds.) Gain +15 armor. Air Magic spells that target a foe activate and recharge 25% faster, but you are Overcast by 3 points. 		10 Tango-energy.png 	1 Tango-activation-darker.png 	20 Tango-recharge-darker.png 	Tango-quest-icon.png	Earth Magic	Prophecies
Kinetic Armor.jpg 	Kinetic Armor 	Enchantment Spell. (8 seconds.) You have +20...68...80 armor. Renewal bonus: cast a spell. 		15 Tango-energy.png 	3 Tango-activation-darker.png 	60 Tango-recharge-darker.png 		Earth Magic	Prophecies
Lava Arrows.jpg 	Lava Arrows 	Spell. Projectile: deals 20...56...65 fire damage. Bonus effect: sends projectiles at 2 other foes near your target. 		5 Tango-energy.png 	1 Tango-activation-darker.png 	2 Tango-recharge-darker.png 		Fire Magic	Factions
Lava Font.jpg 	Lava Font 	Spell. Deals 5...41...50 fire damage each second (5 seconds). Hits foes adjacent to your initial location. If Overcast, range increased to nearby. 		10 Tango-energy.png 	1½ Tango-activation-darker.png 	4 Tango-recharge-darker.png 	Tango-quest-icon.png	Fire Magic	Prophecies
Lightning Bolt.jpg 	Lightning Bolt 	Spell. Projectile: deals 5...41...50 lightning damage. Deals 5...41...50 more lightning damage if target foe is moving. 25% armor penetration. 		5 Tango-energy.png 	1 Tango-activation-darker.png 	8 Tango-recharge-darker.png 		Air Magic	Nightfall
Lightning Hammer.jpg 	Lightning Hammer 	Spell. Deals 10...82...100 lightning damage. Applies Cracked Armor (5...17...20 seconds). 25% armor penetration. 		25 Tango-energy.png 	2 Tango-activation-darker.png 	4 Tango-recharge-darker.png 		Air Magic	Factions
Lightning Hammer (PvP).jpg 	Lightning Hammer (PvP) 	Spell. Deals 10...82...100 lightning damage. 25% armor penetration. 		25 Tango-energy.png 	2 Tango-activation-darker.png 	4 Tango-recharge-darker.png 		Air Magic	Factions
Lightning Javelin.jpg 	Lightning Javelin 	Spell. Projectile: Deals 15...43...50 lightning damage. Interrupts if your target is attacking. 25% armor penetration. Strikes all foes between you and your target. 		5 Tango-energy.png 	1 Tango-activation-darker.png 	5 Tango-recharge-darker.png 	Tango-quest-icon.png	Air Magic	Prophecies
Lightning Orb.jpg 	Lightning Orb 	Spell. Projectile: deals 10...82...100 lightning damage. 25% armor penetration. 		15 Tango-energy.png 	2 Tango-activation-darker.png 	5 Tango-recharge-darker.png 	Tango-quest-icon.png	Air Magic	Core
Lightning Strike.jpg 	Lightning Strike 	Hex Spell. Deals 5...41...50 lightning damage. 25% armor penetration. Hex for 3 seconds if Overcast. End effect: deals 5...41...50 lightning damage. 		5 Tango-energy.png 	1 Tango-activation-darker.png 	5 Tango-recharge-darker.png 	Tango-quest-icon.png	Air Magic	Core
Lightning Surge.jpg 	Lightning Surge 	Elite Hex Spell. (3 seconds.) End effect: deals 14...83...100 lightning damage, causes knock-down, and inflicts Cracked Armor (5...17...20 seconds). 25% armor penetration. 		10 Tango-energy.png 	1 Tango-activation-darker.png 	10 Tango-recharge-darker.png 		Air Magic	Core
Lightning Touch.jpg 	Lightning Touch 	Touch Skill. Deals 10...50...60 lightning damage. Also hits foes adjacent to target foe. Inflicts Blind (1...3...4 second[s]) and Cracked Armor (1...8...10 second[s]) on all struck foes. 25% armor penetration. 		5 Tango-energy.png 	¾ Tango-activation-darker.png 	10 Tango-recharge-darker.png 		Air Magic	Core
Liquid Flame.jpg 	Liquid Flame 	Spell. Deals 7...91...112 fire damage. Deals 7...91...112 fire damage to nearby foes if target was attacking or casting. 		10 Tango-energy.png 	1 Tango-activation-darker.png 	15 Tango-recharge-darker.png 		Fire Magic	Nightfall
Maelstrom.jpg 	Maelstrom 	Spell. Deals 10...22...25 cold damage and interrupts spells each second (10 seconds). Hits foes adjacent to target's initial location. 	10 Tango-overcast.png 	25 Tango-energy.png 	2 Tango-activation-darker.png 	30 Tango-recharge-darker.png 		Water Magic	Core
Magnetic Aura.jpg 	Magnetic Aura 	Enchantment Spell. (1...4...5 second[s].) Block the next attack against you and reflect 10...42...50 damage to the attacker. If you are Overcast, enchant party members in earshot. 		10 Tango-energy.png 	1 Tango-activation-darker.png 	12 Tango-recharge-darker.png 	Tango-quest-icon.png	Earth Magic	Prophecies
Magnetic Surge.jpg 	Magnetic Surge 	Enchantment Spell. Deals 15...63...75 damage. If you are Overcast, allies in earshot are enchanted for 1...4...5 [sic] and block the next attack against them. 		10 Tango-energy.png 	1½ Tango-activation-darker.png 	15 Tango-recharge-darker.png 		Earth Magic	Eye of the North
Mark of Rodgort.jpg 	Mark of Rodgort 	Hex Spell. Also hexes foes near your target (10...30...35 seconds). Inflicts Burning condition (1...3...4 second[s]) when these foes take fire damage. 		15 Tango-energy.png 	1 Tango-activation-darker.png 	15 Tango-recharge-darker.png 		Fire Magic	Prophecies
Master of Magic.jpg 	Master of Magic 	Elite Enchantment Spell. (1...49...61 second[s]). Your elemental attributes are set to 8...13...14 and elemental spells return 30% of their Energy cost. 		5 Tango-energy.png 	1 Tango-activation-darker.png 	10 Tango-recharge-darker.png 		Energy Storage	Nightfall
Meteor.jpg 	Meteor 	Spell. Deals 7...91...112 fire damage and causes knock-down. Also hits foes adjacent to target foe. 	10 Tango-overcast.png 	5 Tango-energy.png 	2 Tango-activation-darker.png 	30 Tango-recharge-darker.png 	Tango-quest-icon.png	Fire Magic	Core
Meteor Shower.jpg 	Meteor Shower 	Spell. Deals 7...91...112 fire damage and causes knock-down every 3 seconds (9 seconds). Hits foes adjacent to target's initial location. 	10 Tango-overcast.png 	25 Tango-energy.png 	5 Tango-activation-darker.png 	60 Tango-recharge-darker.png 		Fire Magic	Prophecies
Mind Blast.jpg 	Mind Blast 	Elite Spell. Deals 15...51...60 fire damage. You gain 1...7...8 Energy if you have more Energy than target foe. 		5 Tango-energy.png 	1 Tango-activation-darker.png 	2 Tango-recharge-darker.png 		Fire Magic	Nightfall
Mind Burn.jpg 	Mind Burn 	Elite Spell. Deals 15...51...60 fire damage. If you have more energy than target foe, deals 15...51...60 more fire damage and inflicts Burning (1...8...10 second[s]). Also hits adjacent foes. 	5 Tango-overcast.png 	5 Tango-energy.png 	1 Tango-activation-darker.png 	5 Tango-recharge-darker.png 		Fire Magic	Core
Mind Freeze.jpg 	Mind Freeze 	Elite Hex Spell. Deals 10...50...60 cold damage. If you have more Energy than target foe, deals +10...50...60 cold damage and causes 90% slower movement (1...4...5 second[s]). 	5 Tango-overcast.png 	5 Tango-energy.png 	1 Tango-activation-darker.png 	5 Tango-recharge-darker.png 		Water Magic	Core
